Unnamed: 0,pmcid,fig_no,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,frequency(yes),link
2,PMC6356271,Fig. 2,no,no,no,no,no,yes,no,no,1,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6356271/figure/cells-08-00058-f002/
9,PMC6441073,Fig. 3,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6441073/figure/Fig3/
11,PMC6475556,Figure 7,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6475556/figure/fig7/
12,PMC6486373,Fig. (1),no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6486373/figure/F1/
13,PMC6509841,Fig. 8,no,yes,no,no,no,no,no,no,1,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6509841/figure/Fig8/
15,PMC6546118,FIGURE 3,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6546118/figure/F3/
17,PMC6589721,Figure 2,no,yes,no,no,no,yes,no,no,2,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6589721/figure/mpp12800-fig-0002/
20,PMC6593971,Figure 3,no,no,no,no,no,yes,no,no,1,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6593971/figure/jipb12788-fig-0003/
21,PMC6600569,Figure 23,no,no,no,no,no,yes,no,no,1,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6600569/figure/ijms-20-02694-f023/
26,PMC6651063,Figure 6,no,no,no,no,no,yes,no,no,1,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6651063/figure/ijms-20-03321-f006/
27,PMC6651195,Figure 1,no,no,no,no,no,yes,no,no,1,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6651195/figure/molecules-24-02452-f001/
