SI,Plant id,Plant Name,Plant Part,Location ,Geocordinates,Top 3 Essential oil & %
1,PMC4391421,Thymus vulgaris,Aerial part,Romania,"46°N, 25°E","thymol (47.59%)                       terpinene (30.90%)                               p-cymene (8.41%),                               "
2,PMC5080681,Thymus bovei,"aerial plant parts (leaves, stems and flowers) wer",Jericho region (Palestine),"31°51'12.71""N, 35°26'13.38""E","Trans-geraniol (35.38 %), ?-citral (20.37 %) and ?-citral (14.76 %)"
3,PMC5132230,Aeollanthus suaveolens,leaves,"Fazendinha district in the Municipality of Macapa, Amapa´.","(00? 02’23 ""S and 51? 06’29"" W) ","?-farnesene (37.615%), Linalool (33.375%), ?-Santalene (3.255%) and linalyl acetate (3.222)"
4,PMC5203915,Rhaponticum carthamoides,Hairy roots (HR) and the roots of soilgrown(SGR) plants,"Medical University of ?ód?, Poland)","51°46'11""N, 19°27'14""E","HR-  Cyperene- 18.2%, 13-Norcypera-1(5),11(12)-diene - 15.3%, 2,5,8-Trimethyl-1-naphthol- 9,6%                                      SGR- Aplotaxene 27.3%, Nardosina-1(10),11-diene-20.7%, Dauca-4(11),8-diene - 10.2% "
5,PMC5237462,Mentha piperita L.,Leaves,"Macapa, AP,","(00? 02’23 ""S and 51? 06’29"" W) "," linalool (51.8%) epoxyocimene(19.3%), Sesquiphellandrene 9.4%"
6,PMC5248495,"O. basilicum var.
purpureum,                   O. basilicum var. thyrsiflora,           and O. citriodorum",Aerial parts,Kotayk Region of Armenia,"40°25'N, 44°45'E","O. basilicum var. purpureum essential oil contained 57.3% methyl-chavicol (estragol), Linalool  18%,trans-?-Bergamotene 4.34                                                                            O. basilicum var. thyrsiflora oil had
68.0% linalool,Methyl chavicol 20%, 1-8- Cineole 3.5 %                                               O. citriodorum oil were nerol (23.0%) and citral (20.7%), Geranial 15.77%,Methyl chavicol 9,45%"
7,PMC5282690,Artemisia campestris L.,Leaves and flowers,Morocco ,"34° 2? 0? N, 6° 50? 0? W","spathulenol (10.19%)  ß-eudesmol (4.05%), p-cymene (3.83%)"
8,PMC5307246,Lannea kerstingii ,Seeds,Djanga ,latitude 10.37 N; longitude 4.47 W,"oleic acid 38.45%, palmitic acid 33.20%,  Linoleic  12.75 %"
9,PMC5307902,Plectranthus amboinicus,fresh Leaves,,,"carvacrol [33.5%],                                    p-cymene [28.20%],                     terpinene [14.77%]"
10,PMC5324201,Anethum Sowa L., Root,"Keranigonj, Dhaka of Bangladesh",23°41?N 90°20?E,"Apiol 81.99%,y m-diaminobenzene
10.446%,Toluene  2.40%"
11,PMC5330108,Mentha piperita,Leaves,"Mysore, India.","12.2958° N, 76.6394° E","menthol 24.96%,1 menthone 22.18%,pulegone 19.33"
12,PMC5344628,"Thyme (Thymus vulgaris L.), clove (Eugenia caryophyllus from dried floral buds of Syzygium aromaticum), rosemary (Rosmarinus officinalis L.), and tea tree (Melaleuca alternifolia aetheroleum)","Leaves and flowers , dried floral buds",Romania,"46°N, 25°E","Thyme oil- thymol 43.1%,p-Cymene 22.5%,?-Terpinene 7.9%               clove oil -   Eugenol 85.7%,Eugenol acetate 7.9%,?-Caryophyllene 2.3 4.5%                                    Rose mary oil   Eucalyptol 43.1 %,?-Pinene 11.4%,Camphor 11.3%,tea tree oil 4-Terpineol 38.7%,?-Terpinene 16.3%,2-Carene 10.3%

                      "
13,PMC5364420,Cyperus rotundus ,Rhizomes,"Taian County of Shandong Province, China",,"?-cyperone (38.46%), cyperene (12.84%) and ?-selinene (11.66%)"
14,PMC5393100,Pimpinella anisum L. ,fruit,,,"trans-anethole  (89.24%). ?-himachalene (2.89%) , methyl chavicol (2.72%), limonene (1.88%"
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
