DAVEid	wikidataID	Multivariate (Parts used)	Multivariate (Preparation)	QualiferCat1	QualiferCat2	term	"Qs for Gita
Recategorize, Replace, or Omit?"	FALSE	Description				Qs for Peter	
				???		shoot axis tuber		FALSE						
				Above/Below Ground	below	subterranean shoot axis tuber		FALSE						
				aerial or subterranean	aerial	aerial		FALSE						
				Age		plantlet		FALSE						
				Age		young		FALSE						
				Color	coverage	3/4								Qualifier colour?
				Color	coverage	full		FALSE						
				Color	Intensity	dark		FALSE						
				Color	Intensity	light		FALSE						
				Color	Shade	green								
				Color	Shade	yellow								
				Color	What is meant by turn?	fruit (color turn)	"Recategorize, Replace, or Omit?"	FALSE						
				Condition		dried		FALSE						
	Q57051635			Condition		dry		FALSE						
				Condition		fresh		FALSE						
				Extra/Intra-Terarial 	`	belowground parts		FALSE						
				Life Cycle	Stage	flowering		FALSE						
				Life Cycle	Stage	photoperiod	What is an appropriate Cat1 and Cat2?	FALSE						
				Light Conditions		complete darkness	What is an appropriate Cat1 and Cat2?	FALSE						
				Manual Preparation	??	grounded		FALSE						
				Manual Preparation	Chipped	wood chips		FALSE						
				Manual Preparation	Cut?	cut		FALSE						
				Manual Preparation	moisture?	soaked		FALSE						
				Manual Preparation	State	lab-dried		FALSE						
				Maturity	Mature	mature seed		FALSE						
				Maturity	Mature	mature umbel		FALSE						
	Q207123			Multivariate	Multiple Parts Used	herb		FALSE						
				Part Portion	aerial	aerial		FALSE						
				Part Portion	relative position	apical	??	FALSE						
				Part Portion	wall	anther wall								
				Part Portion		apical	??	FALSE						
				Part Portion		apices	??	FALSE						
				Part Portion		leaf base		FALSE						
				Part Portion		leaf blade		FALSE						
				Part Portion		leaf lamina		FALSE						
				Part Portion		leaf sheath		FALSE						
	Q21254684			Part Portion		stem bark		FALSE						
				Part Portion		stem base		FALSE						
				Part Portion		stem wood	"with regard to ""wood"", how do we distinguish stem from trunk"	FALSE						
				Part Portion		terminal branch (non-woody)		FALSE						
	Q11162356			Part Portion		terminal branch (woody)		FALSE						
				Part Portion		top (uppermost part of shoot)		FALSE						
				Part Portion		whole plant (fresh material)		FALSE						
				Part Portion		wood (buttwood)		FALSE						
				Part Portion		wood (trunk wood)		FALSE						
				Plant Part		apical hook	??	FALSE						
				Plant Part		bracteole		FALSE						
				Plant Part		branch		FALSE						
				Plant Part		branches		FALSE						
				Plant Part		bud		FALSE	a swelling on a plant stem consisting of overlapping immature leaves or petals					
	Q188748			Plant Part		bulb		FALSE						
				Plant Part		bulbil		FALSE	a small bulblike organ of vegetative reproduction growing in leaf axils or on flower stalks of plants such as the onion and tiger lily					
				Plant Part		calyx		FALSE	"the sepals of a flower collectively, forming the outer floral envelope that protects the developing flower bud"					
				Plant Part		capitula		FALSE						
				Plant Part		capitulum		FALSE	"a racemose inflorescence in the form of a disc of sessile flowers, the youngest at the centre. It occurs in the daisy and related plants"					
				Plant Part		carpel		FALSE	"the female reproductive organ of flowering plants, consisting of an ovary, style (sometimes absent), and stigma. The carpels are separate or fused to form a single pistil"					
				Plant Part		carpophore		FALSE	the central column surrounded by carpels in such flowers as the geranium					
				Plant Part		caryopsis hull		FALSE						
				Plant Part		catkin		FALSE	"an inflorescence consisting of a spike, usually hanging, of much reduced flowers of either sex: occurs in birch, hazel, etc"					
				Plant Part		caulis		FALSE	the main stem of a plant					
				Plant Part		chalaza		FALSE						
				Plant Part		clinandrium		FALSE	a cavity in the upper part of the column of an orchid flower that contains the anthers					
				Plant Part		clove bud		FALSE						
				Plant Part		coleoptile		FALSE						
				Plant Part		coleorhiza		FALSE						
				Plant Part		commissure		FALSE	"any of various joints between parts, as between the carpels, leaf lobes, etc, of a plant"					
	Q22710			Plant Part		cone		FALSE						
				Plant Part		corolla		FALSE	"the petals of a flower collectively, forming an inner floral envelope"					
				Plant Part		corymb		FALSE	an inflorescence in the form of a flat-topped flower cluster with the oldest flowers at the periphery. This type of raceme occurs in the candytuft					
				Plant Part		costa		FALSE	"a riblike part, such as the midrib of a plant leaf"					
				Plant Part		cyathium		FALSE	a form of inflorescence of the type found on the poinsettia					
				Plant Part		cyme		FALSE	an inflorescence in which the first flower is the terminal bud of the main stem and subsequent flowers develop as terminal buds of lateral stems					
				Plant Part		dichasium		FALSE	"a cymose inflorescence in which each branch bearing a flower gives rise to two other flowering branches, as in the stitchwort"					
				Plant Part		epicotyl		FALSE						
				Plant Part		exocarp		FALSE						
				Plant Part		filament		FALSE	the stalk of a stamen					
				Plant Part		floret		FALSE	"a small flower, esp one of many making up the head of a composite flower"					
	Q506			Plant Part		flower		FALSE						
				qualifier	fine	fine stem		FALSE						
				Ripeness	Stage	fruit peel	"Is there any other type of peel other than fruit or veg? Can I simply to just ""peel"""	FALSE						
				Ripeness	Stage	ripe	What would Cat1 be for ripeness? Maturity? Or maybe Ripeness or Ripeness level?	FALSE						
				Ripeness	Stage	seed		FALSE	"a mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa)"					
				Ripeness	Stage	unripe	What is an appropriate Cat1 and Cat2?	FALSE						
	Q56121304			Sex	feminine	female flower		FALSE						
				Sex	feminine	feminine cone		FALSE						
				Sex	masculine	male flower		FALSE						
				State	Fertility	fertile		FALSE						
				State	Fertility	infertile		FALSE						
				State	Fertility	unfertile		FALSE						
				State		intact	What is an appropriate Cat1 and Cat2?	FALSE						
					articulated	articulated laticifer		FALSE						
						aerial part		FALSE						
						alpha	??	FALSE						
						androecium		FALSE	the stamens of a flowering plant collectively					
						anther		FALSE	the terminal part of a stamen consisting usually of two lobes each containing two sacs in which the pollen matures					
						anthophore		FALSE	an elongation of the receptacle of a flower between the calyx and corolla					
						aril		FALSE						
						awn	???	FALSE						
						balsam		FALSE						
						bark		FALSE						
						bark wood		FALSE						
	Q16128920					berries		FALSE						
						blossom		FALSE	"the flower or flowers of a plant, esp conspicuous flowers producing edible fruit"					
						bract		FALSE	"a specialized leaf, usually smaller than the foliage leaves, with a single flower or inflorescence growing in its axil"					
						branchlets		FALSE						
						cauline leaf		FALSE						
						chalazal cyst		FALSE						
				Extra/Intra-Terarial		dried above ground part		FALSE						
						early wood		FALSE						
						endothelium		FALSE						
						epicalyx bract		FALSE						
						epidermal cork cell		FALSE						
						epidermis		FALSE	"the outer protective layer of cells of a plant, which may be thickened by a cuticle"					
				Plant Part		extrafloral nectary		FALSE						
						floral bud		FALSE						
						floral envelope		FALSE	the part of a flower that surrounds the stamens and pistil: the calyx and corolla (considered together) or the perianth					
						floral organ		FALSE						
						flower bract		FALSE						
						flower bud		FALSE						
						flower nectary		FALSE						
						flower stalk		FALSE						
		Part				flowering aerial part		FALSE						
						flowering bud		FALSE						
						flowering shoot		FALSE						
	Q70062083					flowering top		FALSE						
						flowering umbel		FALSE						
						foliage		FALSE	the green leaves of a plant					
	Q1364					fruit		FALSE	"the ripened ovary of a flowering plant, containing one or more seeds. It may be dry, as in the poppy, or fleshy, as in the peach"					
						fruit columella		FALSE						
						fruit placenta		FALSE						
						fruits		FALSE						
						gall		FALSE						
						gametophore		FALSE	the part of a plant that bears the reproductive organs					
						gemma		FALSE						
						glandular trichome		FALSE						
						glume		FALSE	the bract beneath each flower in a sedge or related plant					
	Q643352					grass		FALSE						
						guard cell		FALSE	one of a pair of crescent-shaped cells that surround a pore (stoma) in the epidermis. Changes in the turgidity of the cells cause the opening and closing of the stoma					
						gum		FALSE						
						gynoecium		FALSE	the carpels of a flowering plant collectively					
						hairy root	"How is hairy root different than, say, Root, hairy? "	FALSE						
						head		FALSE	a dense inflorescence such as that of the daisy and other composite plants					
						heartwood		FALSE						
						herbal parts		FALSE						
						hibernaculum		FALSE	the protective case or covering of a plant bud or animal					
						husk		FALSE						
						hydathode		FALSE						
						hypanthium		FALSE	the cup-shaped or flat receptacle of perigynous or epigynous flowers					
						immature seeds		FALSE						
	Q156428					inflorescence		FALSE	the part of a plant that consists of the flower-bearing stalks					
						inflorescence bud		FALSE						
						inflorescence spikelet		FALSE						
						inflorescence stem		FALSE						
						infructescence fruit pedicel		FALSE						
						integument		FALSE						
						internode		FALSE	the part of a plant stem between two nodes					
						involucel		FALSE	a ring of bracts at the base of the florets of a compound umbel					
						involucral bract		FALSE						
						involucre		FALSE	a ring of bracts at the base of an inflorescence in such plants as the composites					
