PMCID	Country	Plant	Activities	Organisms	Target species	Activity table	Activity figure	EO composition table	Chemical structure of EO composition	Physicochemical property of EO
										
PMC4391421	Romania	Thymus vulgaris	antimicrobial, expectorant, antitussive, antibroncholitic, antispasmodic, anthelmintic, carminative and diuretic	Staphylococcus aureus, Pseudomonas aeruginosa , Salmonella typhimurium , Escherichia coli , Klebsiella pneumoniae , Enterococcus faecalis and Candida albicans 		Table 2	Fig. 1	Table 1		
										
PMC5080681		Thymus bovei		Staphylococcus aureus, Escherichia coli, Pseudomonas aeruginosa,Staphylococcus aureus, Candida albicans	Pheretima posthuma					
										
PMC5132230	West Asian and North African regions, Palestinian 		antimicrobial, antioxidant, anthelmintic, expectorant, antispasmodic, antiseptic,antifungal	Candida albicans	Pheretima posthuma			Table 1		
										
PMC5203915	Siberia	Rhaponticum carthamoides	cytotoxic, antioxidant, antimicrobial, antiparasitic, anti-inflammatory,  carcinogenic,adaptogenic, Saccharomyces cerevisiae, Candida albicans	Staphylococcus aureus, Enterococcus faecalis , Escherichia coli and  Pseudomonas aeruginosa			Figure 1)	Table 1		
										
PMC5237462	Brazil, Amazon region	Mentha piperita	Antioxidant, Cytotoxic, Antimicrobial, Larvicidal, antivomitive, carminative, stomachic, anthelmintic, topical antibacterial, antifungal, and antipruritic	Staphylococcus aureus, Escherichia coli	A. aegypti.			Table 1)	Figure 1	
										
PMC5248495 		O. basilicum, O. basilicum, and O. citriodorum	antioxidant, antibacterial and antifungal 				(Fig. 1)	Table 1		
										
PMC5282690 	Oriental Morocco	Artemisia campestris	vasorelaxant, antioxidant and antiplatelet							
										
PMC5282690			antibacterial, antifungal, insecticidal, antitumor , antivenin , hepatoprotective, nephroprotective and antidiabetic					Fig. 1		
										
PMC5307246	Cameroon, Burkina Faso	Lannea kerstingii						Table 5		
										
PMC5307902	Brazil	P. amboinicus	antifungal, antibacterial,  antimicrobial, antiviral, anti-inflammatory, and repellent properties.							Table 2.
										
PMC5324201 	Bangladesh	Anethum Sowa	Anethum Sowa antioxidant, antimicrobial and cytotoxicity	Bacillus subtilis, Staphylococcus aureus, Bacillus cereus, Enterococcus faecalis, Salmonella typhi , E. coli , Pseudomonas aeruginosa, Salmonella enteritidis, Acetobacter aceti,  Candida albicans, Aspergillus niger, Sacharomyces cerevaceae and Trichoderma sp.				Table 9		
										
PMC5330108 		Mentha piperita	antifungal, antibacterial, anti-inflammatory, cytotoxic		F. sporotrichioides					
