compound	frequency
(-)-caryophyllene oxide	2
(e)- nerolidol	2
(e)-beta-famesene	2
(e)-2-decenal	2
(e)-2-octenal	2
(e)-alpha-bisabolene	3
(e)-anethole	2
(e)-asarone	3
(e)-beta-caryophyllene	2
(e)-beta-damascenone	2
(e)-beta-farnesene	15
(e)-beta-ionone	5
(e)-beta-ocimene	31
(e)-caryophyllene	12
(e)-cinnamaldehyde	3
(e)-nerolidol	33
(e,e)-2,4-decadienal	2
(e,e)-alpha-farnesene	9
(z)-3-hexen-1-ol	2
(z)-3-hexenal	2
(z)-3-hexenyl benzoate	2
(z)-3-hexenyl isovalerate	2
(z)-alpha-bisabolene	6
(z)-asarone	3
(z)-beta-farnesene	8
(z)-beta-ocimene	25
(z)-cinnamaldehyde	2
(z)-isoelemicin	2
(z)-jasmone	2
(−)-spathulenol	5
1,3-di-p-coumaroylglycerol	2
2-acetyl-1,3-di-p-coumaroylglycerol	2
2-acetyl-p-3-coumaroyl-1-feruloylglycerol	2
alpha-farnesene	2
1,10-di-epi-cubenol	9
1,13-tetradecadiene	2
1,2-benzenedicarboxylic acid, bis(2-methylpropyl) ester	3
4-methoxy-6-(2-propenyl)-1,3-benzodioxole	2
(e)-3,3-dimethyl-1,5-heptadiene,	2
1,8-cineole	76
1-epi-cubenol	13
1-hexadecanol	4
1-hexanol	5
1-methylnaphthalene	2
1-octadecanol	2
1-octanol	2
1-octen-3-ol	13
1-octen-3-yl acetate	2
1-pentadecene	2
1-pentanol	2
1-terpineol	2
10-epi-gamma-eudesmol	6
2,5-dimethoxy-p-cymene	3
2-acetyl-1,3-di-caffeoylglycerol	2
2-acetylo-3-caffeoyl-1-feruloylglycerol	2
2-amylfuran	2
2-carene	5
2,6,6-trimethyl-2-cyclohexene-1-carboxaldehyde	2
2-decanone	3
2-dodecanone	3
2-heptanol	2
2-heptanone	2
2-hexenal	3
(E)-2-hexenal	2
2-isopropenyl-5-methylhex-4-enal	3
2-methylhexadecane	2
2-nonanol	4
2-nonanone	9
2-pentadecanone	2
6,10,14-trimethyl-2-pentadecanone	2
2-pentylfuran	2
2-phenylethanol	3
2-tridecanone	4
2-undecanol	2
2-undecanone	8
2‐ethylhexanol	2
3,5-dimethoxytoluene	2
3-carene	7
3-octanol	9
3-octanone	6
4-carene	2
4-carvomenthenol	2
4-terpinenol	2
4-terpineol	15
6,9-guaiadiene	2
6-methyl-5-hepten-2-one	5
7-epi-alpha-eudesmol	2
7-epi-alpha-selinene	4
8-heptadecene	2
9-epi-beta-caryophyllene	2
acetic acid	2
acetophenone	3
acetyl-caffeoyl-p-coumaroylglycerol	2
acorenone b	2
agarospirol	2
aldehydes	2
allo-aromadendrene	13
allo-ocimene	6
alloaromadendrene	8
allohimachalol	2
alpha-thujene	2
alpha-bisabolol	2
alpha-cadinol	2
alpha-copaene	3
alpha-humulene	2
alpha-muurolol	2
alpha-phellandrene	2
alpha-pinene	2
alpha-terpineol	2
alpha-acoradiene	2
alpha-acorenol	2
alpha-amorphene	12
alpha-bergamotene	4
alpha-bisabolene	3
alpha-bisabolol	17
alpha-bulnesene	3
alpha-cadinene	13
alpha-cadinol	39
alpha-calacorene	12
alpha-campholenal	10
alpha-caryophyllene	9
alpha-cedrene	3
alpha-cedrol	2
alpha-citral	2
alpha-copaene	59
alpha-cubebene	28
alpha-curcumene	3
alpha-cyperone	2
alpha-eudesmol	18
alpha-farnesene	12
alpha-fenchene	3
alpha-fenchol	2
alpha-fenchyl acetate	2
alpha-guaiene	14
alpha-gurjunene	12
alpha-himachalene	3
alpha-humulene	70
alpha-longipinene	3
alpha-muurolene	33
alpha-muurolol	16
alpha-ocimene	3
alpha-phellandren-8-ol	2
alpha-phellandrene	61
alpha-pinene oxide	6
alpha-pinene	127
alpha-santalene	4
alpha-selinene	23
alpha-springene	2
alpha-terpinene	63
alpha-terpineol	75
alpha-terpinolene	14
alpha-terpinyl acetate	13
alpha-thujene	44
alpha-thujone	6
alpha-trans-bergamotene	5
alpha-ylangene	9
alpha-zingiberene	8
alpha‐copaene	2
alpha‐gurjunene	2
alpha‐humulene	3
alpha‐phellandrene	2
alpha‐pinene	6
alpha‐terpinene	3
alpha‐terpineol	6
alpha‐thujene	3
alpha–pinene	2
anethole	3
apiole	5
ar-curcumene	11
ar-turmerone	2
aristolene	5
allo-aromadendrene	2
aromadendrene	40
aromandendrene	3
artemisia alcohol	2
artemisia ketone	2
asaricin	6
asarone	2
ascaridole	3
benzaldehyde	9
benzene acetaldehyde	2
benzeneacetic acid	2
benzenepropanal	2
benzoic acid	7
benzyl alcohol	3
benzyl benzoate	6
bergamotene	2
beta-pinene	2
beta-bourbonene	2
beta-caryophyllene	2
beta-elemene	2
beta-eudesmol	2
beta-pinene	2
beta-bisabolene	39
beta-bisabolol	3
beta-bourbonene	22
beta-cadinene	5
beta-calacorene	4
beta-caryophyllene oxide	3
beta-caryophyllene	86
beta-cedrene	3
beta-chamigrene	2
beta-citronellol	2
beta-copaen-4alpha-ol	2
beta-copaene	12
beta-costol	2
beta-cubebene	19
beta-elemene	65
beta-eudesmol	18
beta-farnesene	10
beta-funebrene	3
beta-guaiene	3
beta-gurjunene	7
beta-himachalene	2
beta-ionone	4
beta-linalool	8
beta-myrcene	32
beta-ocimene	13
beta-patchoulene	5
beta-phellandren-8-ol	2
beta-phellandrene	31
beta-pinene oxide	2
beta-pinene	118
beta-santalene	3
beta-selinene	36
beta-sesquiphellandrene	18
beta-sinensal	5
beta-thujene	3
beta-thujone	6
beta-ylangene	3
beta‐caryophyllene	4
beta‐pinene	3
beta–myrcene	2
bicyclogermacrene	61
bisabolol	2
borneol	51
bornyl acetate	39
bornylene	2
bulnesol	7
bulnezol	2
3-hexenyl-(z)-butanoate	2
cadalene	8
cadina-1,4-diene	6
cadina-3,5-diene	2
delta-cadinene	2
gamma-cadinene	2
cadinene	2
epi-alpha-cadinol	2
calamenene	6
calarene	2
camphene	90
camphor	67
car-3-en-2-one	2
cariophyllene oxide	2
carotol	2
carvacrol methyl ether	5
carvacrol	40
carvacryl acetate	2
carveol	5
carvone	24
caryophylla-4(12),8(13)-dien-5beta-ol	4
caryophylladienol ii	2
(e)-caryophyllenex 6
caryophyllene oxide	102
caryophyllene	25
caryophyllenol	2
cedrol	4
cembrene	2
chamazulene	4
chavicol	4
chrysanthenone	3
chrysanthenyl acetate	2
chrysin	2
1,6-cineole	5
cinnamaldehyde	3
cinnamic acid	2
cinnamyl acetate	4
cis-14-nor-muurol-5-en-4-one	2
cis-alpha-bergamotene	2
cis-anethole	2
cis-beta-cariophyllen	2
cis-beta-farnesene	3
cis-beta-guaiene	4
cis-beta-ocimene	6
cis-beta-terpineol	2
cis-cadina-1(6),4-diene	2
cis-calamenene	5
cis-carveol	9
cis-carvyl acetate	2
cis-dihydrocarvone	3
cis-farnesol	2
cis-jasmone	4
cis-limonene oxide	2
cis-linalool oxide	8
cis-muurola-3,5-diene	2
cis-ocimene	3
cis-p-menth-2-en-1-ol	8
cis-p-mentha-1(7),8-dien-2-ol	2
cis-p-mentha-2,8-dien-1-ol	3
cis-piperitol	3
cis-rose oxide	2
cis-sabinene hydrate	21
cis-sesquisabinene hydrate	2
cis-thujopsene	2
cis-verbenol	7
citral	6
citronellal	14
citronellol	19
citronellyl acetate	8
citronellyl butyrate	2
citronellyl formate	2
alpha-copaene	2
copaene	6
crocatone	2
cryptone	8
cubebol	2
cubenol	15
cuminal	4
cuminaldehyde	4
cuparene	3
curcumene	2
curcumenol	2
curdione	2
curzerene	14
curzerenone	2
cyclosativene	4
p-cymene	2
cymene	3
cyperene	4
cyperotundone a	2
cyperotundone	2
d-carvone	5
d-limonene	11
d-verbenone	2
d.pteronyssinus	8
decanal	10
decanoic acid	5
dehydro-1,8-cineole	2
dehydroaromadendrane	2
delta- cadinene	3
delta- elemene	2
delta-2-carene	2
delta-3-carene	27
delta-amorphene	5
delta-cadinene	74
delta-cadinol	6
delta-elemene	26
delta-guaiene	4
delta-selinene	2
delta-terpinene	2
delta-terpineol	7
dendrolasin	2
dibutyl phthalate	3
dihydrocarveol	5
dihydroedulan ia	2
diisobutyl phthalate	6
dillapiole	11
dimethyl trisulfide	3
docosane	2
dodecanal	6
dodecane	2
dodecanoic acid	4
e-beta-farnesene	2
e-beta-ocimene	2
e-caryophyllene	2
e-nerolidol	3
eicosane	10
elemicin	10
elemol	30
endo-borneol	4
endo-fenchyl acetate	2
epi-alpha-bisabolol	4
epi-alpha-cadinol	9
epi-alpha-muurolol	4
epi-bicyclosesquiphellandrene	4
epi-cubebol	6
epi-cubenol	2
epicedrol	2
epiglobulol	2
epizonarene	2
eremophilene	4
estragole	8
eucalyptol	15
eudesm-7(11)-en-4-ol	4
eugenol	48
eugenyl acetate	4
exo-fenchol	2
exo-fenchyl acetate	2
farnesol	2
farnesyl acetone	3
fenchone	8
ferula lactone i	2
furfural	4
galangin	2
gamma-amorphene	2
gamma-asarone	2
gamma-cadinene	40
gamma-costol	2
gamma-cuprenene	2
gamma-curcumene	9
gamma-elemene	22
gamma-eudesmol	13
gamma-gurjunene	8
gamma-himachalene	5
gamma-muurolene	33
gamma-selinene	4
gamma-terpinene	96
geranial	14
geranic acid	2
geraniol formate	2
geraniol	25
geranyl acetate	19
geranyl acetone	3
geranyl butyrate	2
germacra-4(15),5,10(14)-trien-1alpha-ol	2
germacrene a	17
germacrene b	28
germacrene d	82
germacrene d-4-ol	3
germacrone	3
gleenol	3
globulol	25
guaiol	11
heneicosane	6
heptacosane	6
heptadecane	8
heptanal	6
hexacosane	2
hexadecanal	2
hexadecane	7
hexadecanoic acid	9
hexahydrofarnesyl acetone	5
hexanal	4
hexanol	2
hinesol	5
alpha-humulene	2
humulene epoxide ii	11
humulene epoxide ii	2
humulene epoxide	3
humulene	4
intermedeol	3
ishwarane	3
iso-borneol	2
iso-menthone	4
iso-spathulenol	2
isoaromadendrene epoxide	3
isoborneol	8
isobornyl acetate	9
isocaryophyllene oxide	4
isocaryophyllene	6
isodihydrocarvyl acetate	2
isoledene	3
isomenthol	3
isomenthone	5
isophytol	3
isopropyl myristate	2
isopropyl palmitate	2
isopulegol	8
isorotundene	2
isospathulenol	7
isoterpinolene	3
junenol	4
kaurene	2
khusinol	2
l-calamenene	2
l-limonene	2
l-linalool	2
l-menthone	3
lavandulol	2
lavandulyl acetate	2
ledene	7
ledol	11
limonene dioxide	2
limonene oxide	3
limonene	117
linalool oxide	5
linalool	110
linalyl acetate	15
linoleic acid	5
longifolene	5
m-camphorene	3
m-cymene	2
maaliol	4
manool	2
menthofuran	3
menthol	12
menthone	9
menthyl acetate	5
methyl chavicol	8
methyl eugenol	15
methyl geranate	3
methyleugenol	6
murolan-3,9(11)-diene-10-peroxy	3
mustakone	2
myrcene	66
myristicin	18
myrtenal	17
myrtenol	25
myrtenyl acetate	5
n-nonanal	2
n-nonane	2
naphthalene	4
neomenthol	2
neophytadiene	7
neral	20
nerol	17
nerolidol	14
neryl acetate	17
nonacosane	
nonadecane	9
nonanal	16
nonane	2
nonanoic acid	5
nootkatone	3
nopinone	2
o-cymene	13
(Z)-beta-ocimene	2
ocimene	3
oct-1-en-3-ol	3
octadecanal	2
octadecane	6
octanal	7
octanoic acid	3
octanol	2
octyl acetate	2
oleic acid	6
p-cymene	2
p-anisaldehyde	2
p-coumaric acid benzyl ester	2
p-coumaric acid cinnamic ester	2
p-coumaric acid	2
p-cymen-7-ol	2
p-cymen-8-ol	13
p-cymen-8-ol	2
p-cymene	81
p-cymene-8-ol	2
p-cymenene	9
p-menthone	4
p-methylacetophenone	2
p-thymol	2
p-xylene	4
palmitic acid	11
palustrol	2
patchouli alcohol	3
pentacosane	4
pentadecanal	7
pentadecane	4
perillaldehyde	3
phellandral	2
alpha-phellandrene	2
phenanthrene	2
phenol	3
phenylethyl alcohol	2
phytane	2
phytol	13
phytone	2
alpha-pinene	6
beta-pinene	6
pinobanksin-3-o-acetate	2
pinocarveol	2
pinocarvone	15
pinocembrin chalcone	4
piperitenone oxide	2
piperitenone	4
piperitone	28
prenyl benzoate	2
propiopiperone	3
pulegone	14
p‐cymene	3
quercetin 7,3′,4′-trimethoxy	2
romania	2
rose oxide	2
rosifoliol	4
sabinene hydrate	2
sabinene	86
safrole	9
sakuranetin	2
salicyl benzoate	2
salicylaldehyde	2
salvial-4(14)-en-1-one	2
santolina triene	2
saussurea lactone	2
selin-11-en-4alpha-ol	9
selina-3,7(11)-diene	3
