"CustomerKey","MaritalStatus","Gender","EstimatedYearlyIncome","SentimentRating","WebActivity","NumberOfContracts","Age","Target","Available401K","CustomerValueSegment","ChurnScore","CallActivity"
11000,"M","M",90000,2,0,0,44,1,1,1,0.1,4
11001,"S","M",60000,3,3,1,45,1,0,1,0.0,4
11002,"M","M",60000,3,3,1,45,1,1,1,0.2,4
11003,"S","F",70000,0,0,1,42,1,0,1,0.5,4
11004,"S","F",80000,5,5,4,42,1,1,1,0.1,4
11005,"S","M",70000,0,0,1,45,1,1,1,0.5,4
11006,"S","F",70000,0,0,1,44,1,1,1,0.5,4
11007,"M","M",60000,3,3,2,46,1,1,1,0.0,4
11008,"S","F",60000,4,4,3,46,1,1,1,1.0,4
11009,"S","M",70000,0,0,1,46,1,0,1,0.5,4
11010,"S","F",70000,0,0,1,46,1,0,1,0.5,4
11011,"M","M",60000,4,4,4,46,1,1,1,1.0,4
11012,"M","F",100000,2,0,2,42,0,1,2,0.1,5
11013,"M","M",100000,2,0,3,42,0,1,2,0.0,5
11014,"S","F",100000,3,0,3,42,0,0,2,0.1,5
11015,"S","F",30000,0,0,1,31,1,0,2,0.5,3
11016,"M","M",30000,0,0,1,31,1,1,2,0.5,3
11017,"S","F",20000,4,0,2,66,1,1,1,0.5,3
11018,"S","M",30000,2,0,2,66,1,1,1,0.5,2
11019,"S","M",40000,0,0,2,32,0,0,2,0.5,3
11020,"S","M",40000,0,0,2,32,1,0,2,0.1,3
11021,"S","F",40000,0,0,1,32,1,0,2,0.1,3
11022,"M","M",40000,0,0,1,32,1,1,2,0.5,3
11023,"M","M",40000,0,0,1,32,0,1,2,0.1,3
11024,"M","M",60000,0,0,2,32,0,1,2,0.5,3
11025,"M","M",10000,2,1,2,64,1,1,1,0.1,2
11026,"S","M",30000,2,0,2,64,1,0,1,0.1,2
11027,"M","M",30000,2,0,2,63,1,1,1,0.5,2
11028,"M","F",30000,2,0,2,64,1,1,1,0.1,2
11029,"M","M",30000,2,0,2,63,1,1,1,0.1,2
11030,"M","F",10000,2,1,2,63,1,1,1,0.1,2
11031,"M","F",20000,4,0,2,63,1,1,1,0.1,3
11032,"M","F",20000,4,0,2,63,1,1,1,0.1,3
11033,"M","M",20000,4,0,2,63,1,1,1,0.5,3
11034,"M","F",20000,4,0,2,63,1,1,1,0.5,3
11035,"M","F",10000,2,1,2,62,1,1,1,0.1,2
11036,"M","F",60000,0,0,2,31,1,1,2,0.1,3
11037,"S","F",40000,0,0,2,32,1,0,2,0.5,2
11038,"M","F",10000,2,1,2,62,1,1,1,0.5,2
11039,"M","M",30000,3,0,2,61,1,1,1,0.5,2
11040,"M","M",30000,0,0,2,33,1,1,2,0.1,3
11041,"M","F",60000,0,0,2,32,1,1,2,0.1,3
11042,"M","F",70000,0,0,2,33,1,1,2,0.0,3
11043,"M","M",60000,0,0,2,34,0,1,2,0.5,3
11044,"M","M",20000,2,1,2,61,1,1,1,0.1,2
11045,"S","M",30000,3,0,2,60,0,0,1,0.1,3
11046,"M","F",30000,3,0,2,60,1,1,1,0.5,3
11047,"M","F",30000,3,0,2,60,1,0,1,0.1,3
11048,"M","M",30000,3,0,2,59,1,1,1,0.5,3
11049,"S","F",40000,0,0,2,30,0,1,2,0.5,2
11050,"M","M",30000,3,0,2,59,1,1,1,0.5,3
11051,"S","M",30000,3,0,2,59,0,0,1,0.1,3
11052,"S","F",40000,2,0,2,59,1,0,1,0.5,2
11053,"M","F",60000,0,0,2,30,1,0,2,0.1,3
11054,"M","F",40000,2,0,2,58,1,1,1,0.5,3
11055,"M","M",40000,2,0,2,58,1,1,1,0.5,3
11056,"M","F",40000,3,0,2,57,1,1,1,0.5,3
11057,"M","M",70000,2,0,2,57,1,1,1,0.1,5
11058,"M","M",80000,2,0,2,56,1,1,1,0.1,3
11059,"S","F",80000,2,0,2,56,0,1,1,0.5,3
11060,"M","M",80000,2,0,2,56,1,1,1,0.5,3
11061,"M","M",80000,2,0,2,56,1,1,1,0.5,3
11062,"M","M",40000,0,0,2,35,1,1,2,0.5,3
11063,"S","F",40000,0,0,2,35,1,1,2,0.5,3
11064,"M","M",40000,0,0,2,34,1,1,2,0.5,3
11065,"M","F",60000,0,0,2,37,0,0,2,0.1,3
11066,"M","F",70000,0,0,2,36,0,1,2,0.5,4
11067,"S","M",60000,0,0,2,34,0,1,2,0.5,4
11068,"S","F",80000,2,0,2,55,0,1,1,0.5,3
11069,"S","F",80000,2,0,2,55,1,0,1,0.1,3
11070,"M","M",80000,2,0,2,55,1,1,1,0.5,3
11071,"S","F",80000,2,0,2,55,0,1,1,0.5,3
11072,"S","F",80000,2,0,2,55,1,0,1,0.1,3
11073,"S","F",70000,2,0,2,54,0,1,1,0.5,3
11074,"S","M",70000,2,0,2,54,0,1,1,0.5,3
11075,"S","F",80000,2,0,2,52,1,1,1,0.5,4
11076,"S","M",80000,2,0,2,53,1,1,1,0.5,4
11077,"S","F",80000,2,0,2,53,1,0,1,0.1,4
11078,"S","F",40000,0,0,2,36,0,0,2,0.1,4
11079,"S","M",160000,0,0,2,51,0,1,1,0.0,5
11080,"M","M",170000,0,0,2,51,1,1,1,0.0,5
11081,"M","F",120000,2,2,3,44,0,1,2,0.2,5
11082,"S","F",130000,0,1,3,44,1,0,2,0.1,5
11083,"M","F",130000,0,1,3,44,1,1,2,0.1,5
11084,"S","M",80000,2,0,2,53,1,0,2,0.1,3
11085,"S","F",60000,2,0,2,53,0,0,2,0.5,4
11086,"M","M",70000,2,1,0,52,0,1,2,0.0,4
11087,"M","F",70000,3,2,0,53,0,0,2,0.0,4
11088,"M","M",80000,2,1,0,52,1,1,2,0.2,5
11089,"S","F",80000,2,1,1,53,1,1,2,0.2,5
11090,"S","M",90000,2,0,1,52,1,1,2,0.2,4
11091,"M","M",90000,2,0,1,53,0,1,2,0.5,4
11092,"M","F",90000,2,2,0,43,1,1,1,0.1,4
11093,"M","F",100000,0,0,0,43,1,1,1,0.0,5
