disease,count
cancer,134
malaria,29
breast cancer,20
suppression,20
leukemia,20
obesity,18
cardiovascular disease,17
arthritis,16
colon cancer,16
asthma,14
metabolic syndrome,12
filariasis,12
colitis,12
hepatocellular carcinoma,11
colorectal cancer,11
pneumonia,11
diabetes mellitus,10
atherosclerosis,9
rheumatoid arthritis,9
allergy,8
heart disease,8
encephalitis,7
glioma,7
mastitis,7
lung cancer,7
rheumatoid arthritis,,7
candidiasis,7
herpes simplex,6
major depressive disorder,6
gastric ulcer,6
neuroblastoma,6
leishmaniasis,6
dermatitis,6
prostate cancer,6
osteoarthritis,5
lung carcinoma,5
periodontitis,5
influenza,5
yellow fever,5
cystic fibrosis,5
cardiovascular disease,,5
sinusitis,5
ulcerative colitis,5
oral cancer,5
hyperglycemia,5
cirrhosis,5
ovarian cancer,4
tuberculosis,4
trichomoniasis,4
dyslipidemia,4
anisakiasis,4
cardiovascular disease.,4
hepatitis,4
chikungunya,4
epilepsy,4
liver disease,4
gout,4
pancreatic cancer,4
neurodegeneration,3
dementia,3
fibromyalgia,3
allergic asthma,3
diabetes mellitus,,3
cervical cancer,3
contact dermatitis,3
multiple sclerosis,,3
cystitis,3
stroke,3
echinococcosis,3
trypanosomiasis,3
peptic ulcer,3
fatty liver disease,3
gastroenteritis,3
diarrhea,3
neuropathy,3
stomatitis,3
pleurisy,2
pulmonary fibrosis,,2
myeloid leukemia,2
common cold,,2
metabolic syndrome,,2
lymphadenitis,2
fatty liver disease.,2
pulmonary hypertension,2
urethritis,2
atrial fibrillation,2
multiple myeloma,,2
rhinitis,2
endocarditis,2
cystic echinococcosis,2
glucose intolerance,2
stomach cancer,2
nephropathy,2
liver disease,,2
skin cancer,2
avian influenza,2
liver disease.,2
encephalopathy,2
chronic myeloid leukemia,2
dengue fever,,2
dengue fever,2
otitis media,2
colorectal cancer.,2
rheumatoid arthritis.,2
schizophrenia,2
ulcerative colitis,,2
osteoporosis,2
typhoid fever,,2
dyspepsia,2
listeriosis,2
vaginitis,2
denture stomatitis,2
fibrosarcoma,2
autism,2
parasitic disease,2
atopic dermatitis,1
toxoplasmosis,1
bladder cancer,1
superficial mycosis,,1
eosinophilia,1
encephalomyelitis,1
bipolar disorder,,1
peritonitis,1
vulvovaginitis,1
autoimmune disease,1
insulinoma,1
dengue hemorrhagic fever,,1
gastric ulcer,,1
thyroid cancer,1
bipolar disorder,1
generalized anxiety disorder,1
diabetes mellitus.,1
cataract,1
hepatoblastoma,1
amnesia,1
chronic lymphocytic leukemia,1
chickenpox,1
mastocytosis,1
prostate cancer,,1
lung abscess,,1
sleeping sickness,1
fatty liver disease,,1
oral candidiasis,1
denture stomatitis.,1
amyotrophic lateral sclerosis,1
gastrointestinal disease,1
pulmonary fibrosis,1
aids,1
anthrax,1
anemia,1
colon cancer.,1
colon cancer,,1
larynx cancer,1
endometrial cancer.,1
heart attack,1
bladder cancer,,1
paratyphoid fever,,1
infectious disease,,1
allergic contact dermatitis,1
irritable bowel syndrome,1
lymphoma,1
heart disease.,1
heart disease,,1
cholangitis,1
suppurative otitis media,1
rash,1
lymphoid leukemia,1
osteosarcoma,1
allergic asthma,,1
chronic apical periodontitis,1
pancreatic cancer,,1
atopic dermatitis,,1
sleep apnea,1
orchitis,1
onchocerciasis,1
scabies,1
macular degeneration,1
coeliac disease,1
breast cancer.,1
gastrointestinal cancer,1
sclerosing cholangitis,1
endometrial cancer,1
anxiety disorder,1
yellow fever,,1
gonorrhea,1
angioedema,1
hypoglycemia,1
hepatic encephalopathy,1
colorectal cancer,,1
acute respiratory distress syndrome?,1
toxic shock syndrome.,1
cerebral infarction,,1
parasitic disease;,1
typhoid fever,1
ulcerative colitis.,1
cystic fibrosis,,1
autoimmune disease,,1
multiple myeloma,1
autoimmune disease;,1
tick-borne encephalitis,1
allergic rhinitis,1
hypersensitivity,1
lung carcinoma,,1
hyperuricemia,1
cardiovascular disease;,1
hyperinsulinemia,1
lactic acidosis,1
cutaneous leishmaniasis,1
impetigo,1
dental caries,1
acute promyelocytic leukemia,1
infectious disease,1
coronary thrombosis,1
urticaria,1
