Table_Caption	Keywords_Phrases
Antimicrobial activities of T. bovei essential oil	[ACTIVITY(S)] activities of [PLANT(S)] [EXTRACT(S)]
Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the essential oil Aeollanthus suaveolens.	[MEASUREMENT(S)] of the [EXTRACT(S)] [PLANT(S)].
"Antibacterial and antifungal activity of essential oils from Rhaponticum carthamoides hairy roots (HR) and roots of soil-grown plants (SGR).
The Minimum Inhibitory Concentration (MIC), the Minimum Bactericidal Concentration (MBC), and the Minimum Fungicidal Concentration (MFC) of essential oils were determined using the microdilution assay and are presented in µg/mL."	"[ACTIVITY(S)] activity of [EXTRACT(S)] from [PLANT(S)] [PLANT PART(S)] of [GROWTH MEDIUM?] plants. 
The [MEASUREMENT(S)] of essential oils were determined using the [METHOD(S)] and are presented in [UNIT(S)].
"
Anti-bacterial activity (Zone of Inhibition) of Anethum sowa L. root essential oil by diffusion method	[ACTIVITY(S)] activity [MEASUREMENT(S)] of [PLANT(S)] [PART(S)] [EXTRACT(S)] by [METHOD] method
Minimum inhibitory concentration (MIC) and Minimum bactericidal concentration (MBC) of Anethum sowa L. root essential oil and standard ciprofloxacin	[MEASUREMENT(S)] of [PLANT(S)] [PART(S)] [EXTRACT(S)] and standard [CONTROL SUBSTANCE]
Anti-fungal activity of Anethum sowa L. root essential oil	[ACTIVITY(S)] activity of [PLANT(S)] [PART(S)] [EXTRACT(S)]
"Minimum inhibitory concentration (MIC) of essential oils tested against Fusarium graminearum G87, Penicillium corylophilum CBMF1, and Aspergillus brasiliensis ATCC 16404."	[MEASUREMENT(S)] of [EXTRACT(S)] tested against [TARGET(S)]
Mean Inhibition zone diameter (mm) by the vapor disc diffusion method	[MEASUREMENT(S)] [UNIT(S)] by [METHOD(S)] method
The minimal inhibitory concentration (MIC) (%) of essential oils in three different solvents (v/v).	[MEASUREMENT(S)] [UNIT(S)] of [EXTRACT(S)] in three different [SOLVENT(S)] [SOLVENT UNIT]
"ZOI, MIC, and MBC of essential oil from C. rotundus rhizomes."	[MEASUREMENT(S)] of [EXTRACT(S)] from [PLANT(S)] [PARTS(S)]. 
Antimicrobial activity of D. kotschy essential oils.	[ACTIVITY(S)] activity of [PLANT(S)] [EXTRACT(S)]
"Antibacterial activities (MIC and MBC) of C. decurrens, C. sempervirens and T. articulata essential oils"	[ACTIVITY(S)] of [PLANT(S)] [EXTRACT(S)]
"Antifungal activities (MIC and MFC) of C. decurrens, C. sempervirens and T. articulata essential oils"	[ACTIVITY(S)] of [PLANT(S)] [EXTRACT(S)]
"Antimicrobial and cytotoxic activities of Ocotea essential oils and some major essential oil components. MIC, minimum inhibitory concentration; IC50, median inhibitory concentration."	[ACTIVITY(S)] of [PLANT(S)] [EXTRACT(S)] and some major [EXTRACT(S)] [COMPONENT(S)]
Inhibition zone diameters (mm) of A. citriodora essential oils on bacterial strains. 	[MEASUREMENT(S)] [UNIT(S)] of [PLANT(S)] [EXTRACT(S)] on [TARGET(S)]
Minimal inhibitory concentrations (MIC) and minimal bactericidal concentrations (MBC) of A. citriodora essential oils.	[MEASUREMENT(S)] [UNIT(S)] of [PLANT(S)] [EXTRACT(S)] 
Minimal inhibitory concentrations (MICs) and minimal bactericidal concentrations (MBCs) of HEO (expressed as mg/mL) against Gram-positive and Gram-negative bacteria.	[MEASUREMENT(S)] [UNIT(S)] of [PLANT(S)] (expressed as [UNIT(S)]) against [TARGET(S)]
Minimum inhibitory concentrations (MIC) of essential oil of T. minuta flower	[MEASUREMENT(S)] of [EXTRACT(S)] of [PLANT(S)] [PART(S)]
Minimum bactericidal concentrations (MBC) of essential oil of T. minuta flower	[MEASUREMENT(S)] of [EXTRACT(S)] of [PLANT NAME] [PART(S)]
	
"Antibacterial activity of ClEO against foodborne, spoiling bacteria and determination of the Minimum Inhibitory Concentrations (MICs) expressed in mg/ml "	[ACTIVITY(S)] activity of [PLANT(S)] [EXTRACT(S)] against [SUBSTRATE(S)] [SUBSTRATE EFFECT(S)] [TARGET(S)] and determination of the [MEASUREMENT(S)] expressed in [UNIT(S)] 
Antifungal activity of ClEO and determination of the Minimum Fungicidal Concentrations (MFCs) expressed in mg/ml	[ACTIVITY(S)] activity of [PLANT(S)] [EXTRACT(S)] and determination of the [MEASUREMENT(S)] expressed in [UNIT(S)] 
Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the Myracrodruon urundeuva essential oil	[MEASUREMENT(S)] of the [PLANT(S)] [EXTRACT(S)] 
Antimicrobial activity of the essential oil from the leaves of A. schaueriana collected at Estação Ecológica Jureia-Itatins (1) and Parque Estadual da Ilha do Cardoso (2).	[ACTIVITY(S)] of the [EXTRACT(S)] from the [PART(S)] of [PLANT(S)] collected at [COLLECTION LOCATION(S)].
"Minimum inhibitory concentrations (MICs) and minimal fungicidal concentrations (MFCs) on Candida species of the essential oils from leaves of H. courbaril var. courbaril, M. peruiferum, and V. guianensis as well as of positive control fluconazole."	[MEASUREMENT(S)] on [TARGET(S)] species of the [EXTRACT(S)] from the [PART(S)] of [PLANT(S)]  as well as of positive control [CONTROL(S)]
Antibacterial activity of Achillea millefolium L. EO against bacterial pathogens.	[ACTIVITY(S)] activity of  [PLANT(S)] [EXTRACT(S)] against [TARGET(S)].
Antifungal activity of Achillea millefolium L. EO (5 µL corresponding to 1000 ppm/disc).	[ACTIVITY(S)] activity of  [PLANT(S)] [EXTRACT(S)] (5 µL corresponding to 1000 ppm/disc).
Minimum inhibitory concentration (MIC) of A. millefolium L. EO.	[MEASUREMENT(S)] of [PLANT(S)] [EXTRACT(S)] 
Minimum inhibitory concentrations (MICs) for Z. monogynum essential oil and positive control (fluconazole) both expressed in mg/mL. Numbers in parenthesis represent the average percentage inhibition for each MIC followed by the standard deviation.	[MEASUREMENT(S)] for [PLANT(S)] [EXTRACT(S)] and positive control [CONTROL(S)] both expressed in [UNIT(S)]. 
"Anti-inflammation, antioxidant, antibacterial, and cytotoxic activities of T. vulgare essential oil and its main constituents"	[ACTIVITY(S)] activities of [PLANT(S)] [EXTRACT(S)] and its main constituents
EOs and their MIC percentage rate on the selected bacteria	[EXTRACT(S)] and their [MEASUREMENT(S)] percentage rate on the selected [TARGET(S)]
Antimicrobial activity of fingered citron peel oils.	[ACTIVITY(S)] activity of fingered citron peel oils
"Distribution of the Staphylococcus aureus strains according to inhibition zone size against the essential oil Plectranhus amboinicus, carvacrol and tetracycline"	"Distribution of the [TARGET(S)] strains according to [METHOD(S)] against the [EXTRACT(S)] [PLANT(S)], [CONTROL(S)]"
Antibacterial activities (mg mL−1) of rosemary leaves essential oils in 2016 season following salinity (ppm) and salicylic acid (ppm) treatments.	[ACTIVITY(S)] activities [UNIT(S)] of [PLANT(S)] [PART(S)] [EXTRACT(S)] in [YEAR/SEASON] following salinity (ppm) and salicylic acid (ppm) treatments.
Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of ROEO against Staphylococcus strains	[MEASUREMENT(S)] of [PLANT(S)] [EXTRACT(S)] against [TARGET(S)] strains
Antibacterial activity of M. officinalis and D. moldavica Eos determined by agar disk diffusion assay and micro-well dilution assay	[ACTIVITY(S)] activity of [PLANT(S)] [EXTRACT(S)] determined by [METHOD(S)]
Antimicrobial activities for R. chalepensis three studied essential oils.	[ACTIVITY(S)] activities for [PLANT(S)] three studied [EXTRACT(S)]
MIC values against Staphylococcus aureus and Streptococcus pyogenes for eucalyptus essential oil and NLC o/e	[MEASUREMENT(S)] values against [TARGET(S)] for [PLANT(S)] and [CONTROL(S)]
Minimum inhibitory (MIC) and bactericidal concentration (MBC) of the essential oil (mg/mL) of Corymbia citriodora leaves Hook and C. macrocarpa branchlets	[MEASUREMENT(S)] of the [EXTRACT(S)] [UNIT(S)] of [PLANT(S)] [PART(S)]
Minimum inhibitory concentration (MIC) and fungicidal concentration (MFC) of different leaf extracts (mg/mL) of Corymbia citriodora and Cupressus macrocarpa	[MEASUREMENT(S)] of different [PART(S)] extracts [EXTRACT(S)] [UNIT(S)] of [PLANT(S)]
Survival population (log CFU/ mL) of Staph. aureus and Salm. Typhimurium treated with ZEO and SNP alone and in combination during 15 min contact time at room temperature.	Survival population (log CFU/ mL) of [TARGET(S)] treated with ZEO and SNP alone and in combination during 15 min contact time at room temperature.
Minimal inhibitory concentration (μg·mL−1) for tested fungi.	[MEASUREMENT(S)] [UNIT(S)] for tested fungi.
Minimal inhibitory concentration 90% (μg·mL−1) for tested bacteria.	[MEASUREMENT(S)] 90% [UNIT(S)] for tested [TARGET(S)].
Antimicrobial activity of essential oil and extracts of Ocimum micranthum Willd leaves	[ACTIVITY(S)] activity of [EXTRACT(S)] and extracts of [PLANT(S)] Willd [PART(S)]
"Antibacterial activity of flower, leaf and root oils of Echinops ilicifolius. IZ: inhibition zone (mm); MIC: minimum inhibitory concentration (µg ml−1); values were expressed as mean ± s.d. (n = 3), values in the same line with different superscripts (a–e) are differences as significant at p < 0.05 by the Duncan test using SPSS."	[ACTIVITY(S)] activity of [PART(S)] [EXTRACT(S)] of [PLANT(S)].
Antimicrobial activity of herbal teas and methanol extracts.	Antimicrobial activity of herbal teas and methanol extracts.
	
Effect of clove EO and thyme EO on Aspergillus flavus growth in PDB medium culture	Effect of [PLANT(S)] [EXTRACT(S)] on [TARGET(S)] growth in [SUBSTRATE] PDB medium culture
Effect of clove EO and thyme EO on Aspergillus flavus growth and aflatoxin B1 production by Aspergillus flavus in Iranian white cheese	Effect of [PLANT(S)] [EXTRACT(S)] on [TARGET] and [TARGET BYPRODUCT] and [CONTROL SUBSTANCE] by [TARGET] in [SUBSTRATE]
Minimum inhibitory concentration of anise essential oil (AEO)	[MEASUREMENT(S)] of [PLANT(S)] [EXTRACT(S)] [PLANT/EXTRACT ABBREVIATION(S)]
"Antimicrobial Resistance of Listeria spp Isolated From Seafood in Kashan, Iran."	[ACTIVITY(S)] Resistance of [TARGET(S)] Isolated From [SUBSTRATE(S)] in [COLLECTION LOCATION].
"Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the Bunium persicum, Eucalyptus globulus, and Rose Water Against Listeria spp Isolated From Seafood."	[MEASUREMENT(S)]  and [MEASUREMENT(S)]  of the [PLANT(S)] Isolated From [SUBSTRATE]. 
"Effects of Bunium persicum, Eucalyptus globulus, and Rose Water in MIC Concentrations on Cell Constituents’ Release of Listeria spp Isolated From Seafood.*"	Effects of [PLANT(S)] [EXTRACT(S)] in MIC Concentrations on [TARGET-RELEASED BIPRODUCTS] of [TARGET SPECIES] Isolated From [SUBSTRATE].
"Effects of Bunium persicum, Eucalyptus globulus, and Rose Water in MIC Concentrations on Cell Constituents’ Release of Listeria spp Isolated From Seafood.*"	Effect of [PLANT(S)] [EXTRACT(S)] in [MEASUREMENT] ON[TARGET BYPRODUCT] release of [TARGET ORGANISM] isolated from [SUBSTRATE]
Antibacterial Activity (MIC and MBC) of Essential Oil Distilled From Salvia mirzayanii.	[ACTIVITY(S)] Activity [MEASUREMENT(S)] of [EXTRACT(S)] [EXTRACTION METHOD(S)] From [PLANT(S)]
Antifungal Activity (MIC and MFC) of Essential Oil From Salvia mirzayanii.	[ACTIVITY(S)] Activity [MEASUREMENT(S)] of [EXTRACT(S)] From [PLANT(S)]
Antifungal Activity of Essential Oil of Salvia mirzayanii against Azole-Sensitive and Azole-Resistant Candida.	[ACTIVITY(S)] Activity of [EXTRACT(S)] of [PLANT(S)] against Azole-Sensitive and Azole-Resistant [TARGET(S)].
	
Determination of minimum inhibitory concentration (MIC) of the oleogels containing different concentrations of thyme essential oil.	Determination of [MEASUREMENT(S)] of the oleogels containing different concentrations of [PLANT(S)] [EXTRACT(S)]
Minimal inhibitory concentration (MIC) (μl/ml) of tested essential oils	[MEASUREMENT(S)]  [UNIT(S)] of tested [EXTRACT(S)] [MEASUREMENT(S)]  [UNIT] of tested [EXTRACT(S)]
Antimicrobial activity of the essential oil of Melaleuca alternifolia.	[ACTIVITY(S)] of [EXTRACT(S)] of [PLANT(S)] against
"Minimum inhibitory concentration (MIC) and minimum bactericidal concentration (MBC) values of essential oils from C. zeylanicum and C. cassia stems, (E)-cinnamaldehyde and oxacillin (mg/ml) on bacteria."	"[MEASUREMENT(S)] values of [EXTRACT(S)] from [PLANT(S)] [PART(S)], [CONTROL(S)] [UNIT(S)] on [TARGET(S)]."
"Minimum concentration of essencial oil from C. cassia (EOCc) and C. zeylanicum (EOCz) stems, (E)-cinnamaldehyde and oxacillin (mg/ml) reduce biofilm biomass by 100% in comparison to normal biofilm growth.
"	"Minimum concentration of [EXTRACT(S)] from  [PLANT(S)] [PART(S)], [CONTROL(S)] [UNIT(S)] reduce [TARGET(S)] by 100% in comparison to normal [TARGET(S)] growth.
"
"MIC and MFC of CEO against C. acutatum.
"	[MEASUREMENT(S)] of [PLANT(S)] [EXTRACT(S)] against [TARGET(S)]
