"product","country","date","quantity","amount","card","Cust_ID"
"prod_4","unknown","2008-12-12",1,3,,"Cust_8"
"prod_3","China","2009-04-10",2,160,"N","Cust_2"
"prod_3","China","2009-04-10",2,160,"Y","Cust_5"
"prod_3","China","2009-05-10",2,160,,"Cust_2"
"prod_3","USA","2009-05-20",20,1600,,"Cust_3"
"prod_3","Brazil","2009-06-08",15,1200,,"Cust_7"
"prod_1","USA","2009-07-04",2,70,"Y","Cust_3"
"prod_1","USA","2009-07-14",2,70,,"Cust_6"
"prod_3","USA","2009-08-20",20,1600,,"Cust_3"
"prod_2","Germany","2009-11-02",15,600,,"Cust_1"
"prod_2","Germany","2009-11-22",15,600,"N","Cust_1"
"prod_1","Germany","2009-12-02",1,35,"Y","Cust_1"
"prod_1","China","2009-12-12",1,35,"Y","Cust_2"
"prod_3","USA","2010-01-03",20,1600,,"Cust_3"
"prod_1","Germany","2010-01-10",1,35,"N","Cust_1"
"prod_3","Germany","2010-01-13",1,80,,"Cust_4"
"prod_2","Germany","2010-01-15",25,1000,,"Cust_1"
"prod_2","USA","2010-01-20",2,80,,"Cust_6"
"prod_2","USA","2010-02-12",6,240,"Y","Cust_6"
"prod_2","USA","2010-02-22",6,240,,"Cust_6"
"prod_2","Brazil","2010-03-11",6,240,"N","Cust_7"
"prod_3","China","2010-03-12",1,80,,"Cust_5"
"prod_3","Germany","2010-03-14",2,160,,"Cust_9"
"prod_3","USA","2010-03-17",1,80,"Y","Cust_3"
"prod_2","Germany","2010-03-31",5,200,"Y","Cust_4"
"prod_2","USA","2010-04-22",10,400,"Y","Cust_3"
"prod_3","China","2010-05-12",2,160,"N","Cust_2"
"prod_1","USA","2010-05-17",5,175,"Y","Cust_6"
"prod_2","Germany","2010-06-22",6,240,,"Cust_1"
"prod_1","China","2010-06-28",10,350,"Y","Cust_5"
"prod_2","USA","2010-07-07",12,480,,"Cust_3"
"prod_1","Brazil","2010-07-17",5,175,,"Cust_7"
"prod_1","China","2010-08-28",10,350,"N","Cust_2"
"prod_2","Germany","2010-08-31",5,200,,"Cust_1"
"prod_3","Germany","2010-09-14",2,160,,"Cust_1"
"prod_1","China","2010-10-01",2,70,,"Cust_5"
"prod_1","USA","2010-10-11",2,70,"Y","Cust_6"
"prod_2","USA","2010-12-07",15,600,"N","Cust_6"
"prod_3","China","2011-01-02",8,640,,"Cust_2"
"prod_1","USA","2011-01-10",10,350,"Y","Cust_3"
"prod_2","Germany","2011-02-01",1,40,"Y","Cust_1"
"prod_3","Brazil","2011-02-02",8,640,"Y","Cust_7"
"prod_2","Germany","2011-02-11",1,40,,"Cust_4"
"prod_1","Germany","2011-03-06",10,350,,"Cust_4"
"prod_1","Germany","2011-03-18",1,35,"Y","Cust_4"
"prod_1","Germany","2011-03-20",11,385,"N","Cust_4"
"prod_1","Brazil","2011-04-06",1,35,,"Cust_7"
