disease,count
cancer,10
suppression,5
influenza,4
breast cancer,4
chronic kidney disease,3
avian influenza,3
lung cancer,3
lymphoma,3
nephropathy,3
proteinuria,2
atherosclerosis,2
cardiovascular disease,2
liver disease,2
chronic kidney disease.,2
cervical cancer,2
prostate cancer,2
liver disease,,1
liver disease.,1
diabetes mellitus,1
kidney failure;,1
metabolic syndrome.,1
nephritis,1
congestive heart failure,1
obesity,1
hepatocellular carcinoma,1
cirrhosis,1
bone disease,1
diabetes mellitus.,1
multiple myeloma,1
liver cancer.,1
cardiovascular disease.,1
leishmaniasis,1
rheumatoid arthritis,1
anemia,1
breast cancer.,1
arthritis,1
prostate cancer.,1
liver cancer,1
visceral leishmaniasis,1
