disease,count
cancer,1507
breast cancer,368
suppression,308
influenza,256
malaria,233
leukemia,202
lung cancer,190
hepatitis,181
colon cancer,177
diarrhea,170
diabetes mellitus,169
hyperglycemia,160
pneumonia,158
obesity,145
tuberculosis,131
prostate cancer,122
arthritis,120
asthma,117
herpes simplex,110
severe acute respiratory syndrome,110
hepatocellular carcinoma,104
colorectal cancer,93
ovarian cancer,83
cervical cancer,83
atherosclerosis,79
colitis,78
lymphoma,74
liver cancer,71
liver disease,67
diabetes mellitus.,66
diabetes mellitus,,62
lung carcinoma,52
cardiovascular disease,52
neuroblastoma,51
metabolic syndrome,49
stroke,49
dementia,48
rheumatoid arthritis,,48
neurodegeneration,48
pancreatic cancer,47
osteoarthritis,46
constipation,44
anemia,43
dermatitis,43
common cold,42
glioma,42
cardiovascular disease,,42
epilepsy,41
myeloid leukemia,40
breast cancer.,39
gastric ulcer,39
nephropathy,39
rheumatoid arthritis,39
common cold,,37
dyslipidemia,36
heart disease,,35
sarcoma,35
hypersensitivity,33
ulcerative colitis,33
osteosarcoma,32
fatty liver disease,32
heart disease,32
breast cancer,,31
metabolic disorder,31
infectious disease,31
encephalitis,30
lung cancer,,30
gastritis,29
candidiasis,29
osteoporosis,28
gout,28
neuropathy,28
stomatitis,28
infertility,27
lung cancer.,27
allergy,26
leishmaniasis,25
shortness,25
respiratory disease,23
cirrhosis,23
measles,22
hypoglycemia,22
chikungunya,22
avian influenza,21
gastroenteritis,21
multiple myeloma,21
metabolic syndrome,,21
acute respiratory distress syndrome,20
liver disease,,20
peptic ulcer,20
psoriasis,20
bladder cancer,19
skin cancer,19
rabies,19
aids,19
hyperuricemia,19
peritonitis,18
migraine,17
amnesia,17
oral cancer,17
scabies,17
chronic obstructive pulmonary disease,16
atopic dermatitis,16
cardiomyopathy,16
glucose intolerance,16
gonorrhea,15
chronic kidney disease,15
erectile dysfunction,15
prostate cancer.,14
periodontitis,14
respiratory failure,14
dental caries,14
pulmonary fibrosis,14
contact dermatitis,14
chronic myeloid leukemia,14
syphilis,13
glioblastoma multiforme,13
acute myeloid leukemia,13
metabolic syndrome.,13
gingivitis,13
multiple sclerosis,,13
stomach cancer,13
liver cancer,,12
colon cancer,,12
mastitis,12
rash,12
urinary tract infection,12
cholangiocarcinoma,12
trypanosomiasis,12
colorectal cancer,,12
colorectal cancer.,12
leprosy,11
retinoblastoma,11
yellow fever,11
liver disease.,11
peripheral neuropathy,11
yellow fever,,11
common cold.,10
colon cancer.,10
urinary tract infection,,10
conjunctivitis,10
rheumatoid arthritis.,10
heart attack,,10
endometriosis,10
cataract,10
cystic fibrosis,10
tonsillitis,10
cardiovascular disease.,10
lymphoblastic leukemia,10
thrombocytopenia,10
pulmonary fibrosis,,9
thyroid cancer,9
viral pneumonia,9
prostate cancer,,9
prediabetes,9
retinopathy,9
sinusitis,9
keratitis,9
dyspepsia,9
allergic asthma,9
rhinitis,9
cystitis,9
dengue fever,9
kidney failure,,9
typhoid fever,,9
pancreatitis,8
monocytic leukemia,8
acute lymphoblastic leukemia,8
renal cell carcinoma,8
adenoma,8
schistosomiasis,8
viral disease,8
fibrosarcoma,8
cutaneous leishmaniasis,8
chronic kidney disease,,8
peptic ulcer,,8
cervical cancer,,8
multiple sclerosis,8
glaucoma,8
gestational diabetes,8
ulcerative colitis,,8
respiratory disease,,8
giardiasis,7
dental caries,,7
amoebiasis,7
nasopharyngeal carcinoma,7
irritable bowel syndrome,7
typhoid fever,7
pulmonary tuberculosis,7
ovarian cancer.,7
pulmonary tuberculosis,,7
lupus erythematosus,7
lung disease,7
hepatocellular carcinoma.,7
oral candidiasis,7
skin cancer,,7
meningitis,7
heart disease.,7
brain cancer,7
male infertility,7
smallpox,6
vaginal discharge,,6
cholestasis,6
esophageal cancer,6
pancreatic cancer,,6
herpes zoster,6
neoplasm,6
otitis media,6
congestive heart failure,6
acute monocytic leukemia,6
diabetic retinopathy,6
systemic lupus erythematosus,6
mouth disease,6
pharyngitis,6
hemorrhoid,6
myeloid leukemia.,6
amyotrophic lateral sclerosis,6
multiple myeloma,,6
multiple myeloma.,6
pulmonary edema,6
infectious disease,,6
microspora,6
filariasis,6
macular degeneration,6
endometrial cancer,6
hypothyroidism,6
herpes zoster,,6
parasitic disease,6
pertussis,5
helminthiasis,5
vaccinia virus,,5
erectile dysfunction,,5
endocarditis,5
allergic contact dermatitis,5
tetanus,5
cystic fibrosis,,5
chronic obstructive pulmonary disease,,5
hernia,5
hepatocellular carcinoma,,5
insulinoma,5
herpes simplex,,5
trichomoniasis,5
pulmonary hypertension,5
gastrointestinal disease,5
viral pneumonia,,5
diabetic neuropathy,5
myocarditis,5
alopecia,5
viral hepatitis,5
acute respiratory distress syndrome,,5
acute pancreatitis,5
visceral leishmaniasis,5
pulmonary edema,,5
peripheral neuropathy.,5
ulcerative colitis.,5
respiratory disease.,5
uterine cancer,4
toxoplasmosis,4
pulmonary fibrosis.,4
contact dermatitis,,4
liver cancer.,4
metabolic disorder,,4
erectile dysfunction.,4
fatty liver disease,,4
fatty liver disease.,4
duodenal ulcer,4
prostatitis,4
rubella,4
myiasis,4
rhabdomyosarcoma,4
atopic dermatitis,,4
congestive heart failure,,4
amyotrophic lateral sclerosis.,4
myasthenia gravis,,4
sclerosing cholangitis,4
eye disease,4
tinea capitis,4
kidney failure,4
lymphoblastic leukemia.,4
obsessive-compulsive disorder,,4
ovarian cancer,,4
severe acute respiratory syndrome,,4
vaccinia virus,4
intestinal cancer,4
food allergy,4
chronic obstructive pulmonary disease.,4
acute promyelocytic leukemia,4
encephalomyelitis,4
gastric ulcer,,4
oral candidiasis.,4
diabetes mellitus;,4
cervical cancer.,4
hepatoblastoma,4
status epilepticus,4
carcinoma in situ,4
mumps,4
infectious disease.,4
acute myeloid leukemia.,4
skin cancer.,4
diphtheria,4
