,parsed,has_terms,weight,sentences,entities,labels,position_start,position_end,sentence_has_terms
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5080681\sections\2_back\1_ack.xml," Acknowledgements  The authors acknowledge the assistance of the technicians Mohamad Arar and Linda Esa and for An-Najah National University and Birzeit University for their support.   Funding  None.    Availability of data and materials  Data are all contained within the article.    Authors’ contributions  NJ carried out experiments. SK conducted GC/MS analysis. LA, NJ, AZ and NS supervised research work and drafted the manuscript. All authors read and approved the final manuscript.    Competing interests  The authors declare that they have no competing interests.    Consent for publication  All authors gave their consent for the publication of the manuscript and for Nidal Jaradat to be the corresponding author.    Ethics approval and consent to participate  Not Applicable.  ",['authors acknowledge'],1,['The authors acknowledge the assistance of the technicians Mohamad Arar and Linda Esa and for An-Najah National University and Birzeit University for their support.'],[[An-Najah National University and Birzeit University]],[['ORG']],[[93]],[[144]],[['authors acknowledge']]
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5237462\sections\2_back\0_ack.xml," Acknowledgments  The authors acknowledge SUS Research Program (PPSUS), Federal University of Amapá (UNIFAP/PROPESPG), and Prof. M.S. Rosangela Sarquis of the Microbiology Laboratory of the Faculty Estacio SEAMA. ",['authors acknowledge'],1,"['The authors acknowledge SUS Research Program (PPSUS), Federal University of Amapá (UNIFAP/PROPESPG), and Prof. M.S. Rosangela Sarquis of the Microbiology Laboratory of the Faculty Estacio SEAMA.']","[[SUS Research Program, Federal University of Amapá, the Microbiology Laboratory]]","[['ORG', 'ORG', 'ORG']]","[[24, 54, 137]]","[[44, 81, 164]]",[['authors acknowledge']]
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5248495\sections\2_back\1_ack.xml," Acknowledgement  This study was done in the frame of the cooperation with Nairian CJSC (Armenia).   Funding  This study was done in the frame of Basic research support by State Committee of Science, Ministry of Education and Science of Armenia, to Yerevan State University.    Availability of data and materials  The plant materials and methods used (see hereafter) were available upon request. All data obtained have been included into the manuscript.     Author’s contribution  AA collected plant material, obtained essential oils and identified chemical structure of essential oil components; AM contributed to manuscript preparation and improved English; MP identified plants, developed the methods and contributed to manuscript preparation; NS developed the methods and prepared the manuscript; AB tested the biological activities of essential oils and analyzed data; SA obtained essential oils and provided chemical analyses; AT supervised the study and edited the manuscript. All authors have read and approved the manuscript.    Competing of interest  The authors declare no commercial, financial or any other conflict of interest.    Consent for publication  Not applicable.    Ethics approval and consent to participate  Not applicable.  ","['research support', 'contribution']",2,"['This study was done in the frame of Basic research support by State Committee of Science, Ministry of Education and Science of Armenia, to Yerevan State University.', 'Author’s contribution  AA collected plant material, obtained essential oils and identified chemical structure of essential oil components; AM contributed to manuscript preparation and improved English; MP identified plants, developed the methods and contributed to manuscript preparation; NS developed the methods and prepared the manuscript; AB tested the biological activities of essential oils and analyzed data; SA obtained essential oils and provided chemical analyses; AT supervised the study and edited the manuscript.']","[[State Committee of Science, Ministry of Education, Science of Armenia, Yerevan State University], [NS, SA]]","[['ORG', 'ORG', 'ORG'], ['ORG', 'ORG']]","[[62, 116, 139], [289, 416]]","[[111, 134, 163], [291, 418]]","[['research support'], ['contribution']]"
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5282690\sections\1_body\1_methods\12_vasorelaxant_effect_of_ac\1_p.xml,"In endothelium-intact aorta (  n  = 6), steady tension was evoked by Phen (1 μM), then, AcEO (10  −4 –10  −1  mg/ml) was cumulatively added to the Krebs solution. The contribution of endothelium, muscarinic receptor and subsequent Ca  2+ -CaM complex formation in the vasorelaxation-induced effect was checked out by the application of experiments described by Monteiro et al. [  46 ]. Denuded rings (  n  = 6) were obtained by gentile rubbing of the lumen of aorta with a plier curved end, and the denudation was verified by the absence of any degree of relaxation caused by carbachol (10  −4  M), then, AcEO (10-4–10-1 mg/ml) was cumulatively added. In another set of experiments, endothelium-intact rings were pre-incubated with the muscarinic receptor antagonist atropine (1 μM;   n  = 6) and Ca  2+ -Calmodulin binding to NOS blocker calmidazolium chloride (10  −3 μM;   n  = 6) for 20 min prior the contraction with Phen (1 μM), then, the cumulative concentration–response curves of AcEO were constructed and compared with those obtained with untreated rings.",['contribution'],1,"['The contribution of endothelium, muscarinic receptor and subsequent Ca  2+ -CaM complex formation in the vasorelaxation-induced effect was checked out by the application of experiments described by Monteiro et al.']",[[]],[[]],[[]],[[]],[['contribution']]
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5282690\sections\1_body\3_discussion\8_p.xml,"In the matter of fact, the antagonizing effect of verapamil and thapsigargin remains debatable, since a persistent vasorelaxation of AcEO was maintained after the pretreatment with both drugs. These results suggest that the vasodilator effect of AcEO may involve the synergetic contribution of both calcium channels; otherwise, AcEO may act concomitantly, on both channels, by blocking VOCC channels, and by activating the SERCA pump, both mechanisms will together participate in an additive and/or synergetic manner to decrease the intracellular levels of calcium leading to a subsequent vasorelaxation.",['contribution'],1,"['These results suggest that the vasodilator effect of AcEO may involve the synergetic contribution of both calcium channels; otherwise, AcEO may act concomitantly, on both channels, by blocking VOCC channels, and by activating the SERCA pump, both mechanisms will together participate in an additive and/or synergetic manner to decrease the intracellular levels of calcium leading to a subsequent vasorelaxation.']","[[AcEO, AcEO, VOCC, SERCA]]","[['GPE', 'GPE', 'ORG', 'ORG']]","[[53, 135, 193, 230]]","[[57, 139, 197, 235]]",[['contribution']]
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5282690\sections\2_back\1_ack.xml," Acknowledgements  This research was supported by a training program of “Healthy Food for Life” project sponsored by International Research Staff Exchange Scheme (IRSES), we are grateful to their support during the training period. We are thankful to Professor Mihamou Aatika for the botanical identification of    A. campestris  L. We address our thanks to Franck Michels and Danny Trisman, technicians affiliated to Laboratory of Chimie Générale et Organique, Gembloux Agro-Bio Tech, Univesrité de Lièrge_Belgium, for the thechincal assistance, and to Mostafa Bedraoui technician from laboratory of Physiologie, Génétique et Ethnopharmacologie_Faculté des Sciences, Université Mohamed Premier, Oujda_Morocco, for the reliable care of animals breeding.    Funding  The authors declare that they have received no funding for the research reported.    Availability of data and materials  All data and materials supporting the conclusion in this paper are described and included in this published article.    Author’s contributions  ID conducted the animal studies, biochemical assays, performed the statistical analysis and wrote the manuscript. AZ oversaw all the work, approved the experimental design, analyzed and interpreted the results and revised the manuscript. AA contributed to the achievement of the isolated aorta experiments. FB and HM carried out the antiplatelet test and helped to improve the manuscript. MLF and MS performed GC and GC/MS analyses of the essential oil and participated in the correction of the manuscript. MB gave some instructions and recommendations to improve the GC/MS analysis part. MB, MA and AL helped in the correction of the manuscript. All the authors read the manuscript and approved the final version.    Competing interests  The authors declare that they have no competing interests.    Consent for publication  Not applicable.    Ethics approval and consent to participate  All animals were cared for in compliance with the Guide for the Care and Use of Laboratory Animals, published by the US National Institutes of Health(National Institutes of Health. 2011. Guide for the Care and Use of Laboratory Animals. Eight Edition). Also this study followed principles in the Declaration of Helsinki (    http://www.wma.net/en/policy/b3.html  ).    ","['grateful', 'reliable care']",2,"['This research was supported by a training program of “Healthy Food for Life” project sponsored by International Research Staff Exchange Scheme (IRSES), we are grateful to their support during the training period.', 'L. We address our thanks to Franck Michels and Danny Trisman, technicians affiliated to Laboratory of Chimie Générale et Organique, Gembloux Agro-Bio Tech, Univesrité de Lièrge_Belgium, for the thechincal assistance, and to Mostafa Bedraoui technician from laboratory of Physiologie, Génétique et Ethnopharmacologie_Faculté des Sciences, Université Mohamed Premier, Oujda_Morocco, for the reliable care of animals breeding.']","[[International Research Staff Exchange Scheme, IRSES], [Franck Michels, Univesrité de, Physiologie]]","[['ORG', 'ORG'], ['ORG', 'ORG', 'GPE']]","[[98, 144], [28, 156, 271]]","[[142, 149], [42, 169, 282]]","[['grateful'], ['reliable care']]"
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5307902\sections\1_body\2_results_and_discussions\1_extraction_and_characteri\14_short_term_stability\1_p.xml,The results presented in   Figure 4  suggest that the method was able to detect not only the major influence of the centrifugal stress but also the individual contribution of each HLB [surfactant composition] on the system stability.,['contribution'],1,['The results presented in   Figure 4  suggest that the method was able to detect not only the major influence of the centrifugal stress but also the individual contribution of each HLB [surfactant composition] on the system stability.'],[[HLB]],[['ORG']],[[180]],[[183]],[['contribution']]
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5307902\sections\1_body\3_conclusion\3_financial_support_and_spo\0_title.xml,Financial support and sponsorship,['Financial support'],1,['Financial support and sponsorship'],[[]],[[]],[[]],[[]],[['Financial support']]
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5307902\sections\2_back\0_ack.xml," Acknowledgement  The authors thank the CNPq, FACEPE, UEPB, UFPB, and UFPE for their support. The authors are also grateful to Andrew Alastair Cumming for editing this paper. ","['authors thank', 'grateful']",2,"['The authors thank the CNPq, FACEPE, UEPB, UFPB, and UFPE for their support.', 'The authors are also grateful to Andrew Alastair Cumming for editing this paper.']","[[FACEPE, UEPB, UFPB], []]","[['ORG', 'ORG', 'ORG'], []]","[[28, 36, 42], []]","[[34, 40, 46], []]","[['authors thank'], ['grateful']]"
C:\Users\shweata\docanalysis\ethics_statement\../oil186\PMC5324201\sections\1_body\3_discussion\4_p.xml,"The concentration of elements is not uniformly distributed throughout the plant. In general, the roots contain the highest level of elements followed by stems, leaves, flowers, buds and fruits of the different maturity stages. Nevertheless, uptake of elements by a plant is influenced by various factors, including the type of plant, nature of the soil, climate and agricultural practices [  36 ]. In the current study, the different elemental concentrations were varied due to the above factors.   A. sowa  L. root accumulated a significant amount of minerals in Bangladeshi geo-environmental condition. The results are also compared with the reported [  8 ] data of   Anethum graveolens  L. root where K (38,500 ppm) had the highest value, Ca (12,200 ppm) and Mg (6700 ppm) had the lowest values than our current study. The elements, especially Ca, Mg, K, Na, Fe and Al play a significant role in human metabolism and the life processes. The rich amount of Ca is important because of its role in bones, teeth, muscle system and heart functions [  37 ]. Mg has been particularly shown to play a significant role as a regulatory cation in direct and indirect traumatic brain injury [  38 ]. Another report on Mg, it also helps in preventing some heart disorders and high blood pressure [  39 ]. Recently, it has been reported that trace amounts of Rb and Cs help in the breakdown of starch to glucose [  36 ]. Cs was present in the trace amount (21.53 ppb) in the present study. Se has anti-oxidising function and it is essential for providing the organism with triiodothyroxine produced from thyroxine [  40 ]. It contributes to the maintenance of cellular antioxidative balance when taken up at the recommended dietary allowance of 50–100 μg/day and tolerable upper intake limit is 400 μg/day [  41 ]. The high dosage of selenate has been shown to normalize hyperglycemia [  36 ]. Li is another element with beneficial pharmacological properties which effectively used in the treatment of manic depressive disorders [  42 ]. The result also showed that many of these elements have vital importance in human metabolism for growth, developments and also prevention and healing of diseases. The non-essential or toxic elemental contents in spice and medicinal plants are attracting attention to the scientist and also the food chemist due to its adverse effect on the human body in respect of medicinal and food preparation. The permissible limits of Hg and As are 1 and 10 mg/kg in foodstuff respectively [  43 ]. The maximum prescribed limit of Cd is 0.3 mg/kg for herbal medicines and its product while the dietary intake limit is 10.3 mg/kg as per who recommendation [  44 ]. Moreover, the toxic elements were found below the prescribed limits in the present experiment. Nonetheless, excessive intake can cause poisoning in the human body. Hg poisoning can result in damage to the brain, kidney, lungs including acrodynia (pink disease), Hunter-Russell syndrome and Minamata disease [  45 ]. The acute sign of As poisoning includes fever, anorexia, hepatomegaly, cardiac arrhythmia, transient encephalopathy and irritation of the gastrointestinal tract [  46 ]. Cd intoxication can lead to kidney, bone and pulmonary damages [  47 ]. Pb and Cd cause both acute and chronic poisoning, adverse effects on the kidney, liver, heart, vascular and immune system [  48 ]. Furthermore, root parts of   Anethum sowa  L. herb is not usually consumed, it is wasted mostly. The present investigation will be helpful for Ayurvedic and pharmaceutical industries to assess the essential and toxic elemental level for medicinal preparation.",['for providing'],1,['Se has anti-oxidising function and it is essential for providing the organism with triiodothyroxine produced from thyroxine [  40 ].'],[[]],[[]],[[]],[[]],[['for providing']]
