sentences,label
The authors acknownowledge the assistance of the technicians Mohamad Arar and Linda Esa and for An-Najah National University and Birzeit University for their support.,acknow
"This work was financially supported by Medical University of Lodz, Poland (503/3-012-01/503-31-001).",acknow
"The authors acknownowledge SUS Research Program (PPSUS), Federal University of AmapÃ¡ (UNIFAP/PROPESPG), and Prof. M.S. Rosangela Sarquis of the Microbiology Laboratory of the Faculty Estacio SEAMA.",acknow
"This study was done in the frame of the cooperation with Nairian CJSC (Armenia).This study was done in the frame of Basic research support by State Committee of Science, Ministry of Education and Science of Armenia, to Yerevan State University.",acknow
"This research was supported by a training program of “Healthy Food for Life” project sponsored by International Research Staff Exchange Scheme (IRSES), we are grateful to their support during the training period.', 'L. We address our thanks to Franck Michels and Danny Trisman, technicians affiliated to Laboratory of Chimie Générale et Organique, Gembloux Agro-Bio Tech, Univesrité de Lièrge_Belgium, for the thechincal assistance, and to Mostafa Bedraoui technician from laboratory of Physiologie, Génétique et Ethnopharmacologie_Faculté des Sciences, Université Mohamed Premier, Oujda_Morocco, for the reliable care of animals breeding.'",acknow
"The authors thank the CNPq, FACEPE, UEPB, UFPB, and UFPE for their support.', 'The authors are also grateful to Andrew Alastair Cumming for editing this paper.",acknow
Se has anti-oxidising function and it is essential for providing the organism with triiodothyroxine produced from thyroxine .,not_acknow
The authors would like to thank Bangladesh Council of Scientific and Industrial Research for laboratory facilities and awarding the Dr. Qudrat-i-Khuda doctoral fellowship to the first author of this research work.,acknow
" We also thank the Norwegian Research council for its financial support, and Bioing.",acknow
"This work was financially supported by a project of the Natural Science Foundation of Shanxi Province, China (project no. 201601D011070).",acknow
The authors would like to thank to Dr. Hasan ÖZÇELİK from Süleyman Demirel University Biology Department for identifying the plants.,acknow
"We are grateful to the Borujerd Branch, Islamic Azad University for financial support for this work.', 'Mrs. Rashidipour is acknownowledged for her kind cooperation.",acknow
This research was financially supported by Tabriz University of Medical Sciences.,acknow
 We express our greatest appreciation to the French cooperation at Congo and to Marien Ngouabi University of Brazzaville (Congo) for financial support.,acknow
The authors are grateful to CNPq-Programa “Ciências sem fronteiras” (Grant No. 233761/2014-4) for financial support.,acknow
"The authors would like to thank the National Centre for Scientific and Technical Research staff in Rabat, Morocco, for their support and analysis of the samples using GC-MS.",acknow
The authors research funds covered the cost of the study and open access fee.,acknow
We would like to acknownowledge South Africa National Research Foundation (NRF) for Funding this research and the University of Fort Hare for providing conducive environment.The authorâ€™s are grateful to National Research Foundation for financing the project.,acknow
"The authors are grateful to the Food Engineering Technology Department of Polytechnic School of Abomey- Calavi University (UAC) for their financial support.', 'They also like to thank Ariane AGOSSOU for her technical assistance.",acknow
The authors are grateful to the help of Fundación Maria Francisca de Roviralta for the acquisition of laboratory equipment. ,acknow
" Funding. This work had the financial support through the Borsa d'Estudi Països Catalans of the Institute for Catalan Studies to VM, and the financial support from an ERASMUS Internship (FsTRASBO48) to EH.",acknow
"The aim of this study was to determine the functional composition and biological activities of some date fruit varieties that are unknown to the general public, but highly appreciated by the local populations of oases these varieties are locally known as.",not_acknow
"The effect of the different   Cl EO on DPPH radical scavenging was compared to those of ascorbic acid, used as positive control, and appreciated by the determination of the IC  50  values.",not_acknow
"The authors would like to thank the University of Camerino (FAR 2014/15, Fondo di Ateneo per la Ricerca, FPI000044) for financial support.",acknow
Funding  FAPERN (FundaÃ§Ã£o de Apoio Ã  Pesquisa do RN) provided funding for the study design and CAPES (CoordenaÃ§Ã£o de AperfeiÃ§oamento de Pessoal de NÃ­vel Superior) funded the work during its development.,acknow
"We are grateful for the financial support of Vice-chancellor for Research and Technology, Sabzevar University of Medical Sciences, Sabzever, Iran.",acknow
The authors are grateful Puri Castillo for providing samples of Allium sativum from Spain.,acknow
Authors sincerely thank the Higher Education Studentsâ€™ Loans Board for financing AT studies at CUHAS.,acknow
"The GC-MS analysis was facilitated by funding through the ICCBS-TWAS Post-doctoral Fellowship awarded to Emmanuel Essien and utilized at the H.E.J Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan.",acknow
The authors wish to thank FAPESP (Fundação de Amparo à Pesquisa do Estado de São Paulo) for financial support and CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior) for scholarship. ,acknow
"The authors would like to thank the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq; 472546/2012-0), the Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), the Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco (FACEPE; APQ-0318-2.08/13) and the Brazilian Ministry for Science, Technology and Innovation (MCTI; 01200.003711/2011-11) for research grants. They are also grateful to the NANOBIOTEC research network CAPES for financial support. ",acknow
"The GC-MS analysis was facilitated by funding through the ICCBS-TWAS Post-Doctoral Fellowship awarded to Emmanuel Essien and utilized at the H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan.",acknow
acknownowledgments The authors wish to thank to Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP) (2016/24985-4) and Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) for providing financial support to this study. FBS and NOdS obtained a fellowship from Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES). PS received a scientific research award from CNPq. ,acknow
"The authors are grateful to Catherine Dussault and Karl Girard-Lalancette for their help with biological assays and Laboratoire PhytoChemia for advice regarding gas chromatography-flame ionization detection (GC-FID) system.', 'We also thank Mammoud Rouhabia (Laval University) for providing    HaCaT  cells used in this study.', 'This work was supported by funds from the    Fonds de Recherche Nature et Technologies.",acknow
This work was financially supported by Science and Technology Key Project (No. 2013C02032) and Public Technical Project (No. 2012C22084) of Zhejiang province in China.'We thank Professor Joyce Kelly for her assistance with GC-MS measurements.,acknow
