Text,Label
"
 Acknowledgements
 The authors acknowledge the assistance of the technicians Mohamad Arar and Linda Esa and for An-Najah National University and Birzeit University for their support.
 
  Funding
  None.
 
 
  Availability of data and materials
  Data are all contained within the article.
 
 
  Authors’ contributions
  NJ carried out experiments. SK conducted GC/MS analysis. LA, NJ, AZ and NS supervised research work and drafted the manuscript. All authors read and approved the final manuscript.
 
 
  Competing interests
  The authors declare that they have no competing interests.
 
 
  Consent for publication
  All authors gave their consent for the publication of the manuscript and for Nidal Jaradat to be the corresponding author.
 
 
  Ethics approval and consent to participate
  Not Applicable.
 
",Acknowledgment
"
 When applied Microbiology Laboratory (LEMA) under the responsibility of Prof. Aldo Proietti Aparecido Júnior.
 Federal University of Amapá—Unifap/Propesg
",Acknowledgment
"
 Acknowledgments
 This work was financially supported by Medical University of Lodz, Poland (503/3-012-01/503-31-001).
",Acknowledgment
"
 Acknowledgments
 The authors acknowledge SUS Research Program (PPSUS), Federal University of Amapá (UNIFAP/PROPESPG), and Prof. M.S. Rosangela Sarquis of the Microbiology Laboratory of the Faculty Estacio SEAMA.
",Acknowledgment
"
 Acknowledgement
 This study was done in the frame of the cooperation with Nairian CJSC (Armenia).
 
  Funding
  This study was done in the frame of Basic research support by State Committee of Science, Ministry of Education and Science of Armenia, to Yerevan State University.
 
 
  Availability of data and materials
  The plant materials and methods used (see hereafter) were available upon request. All data obtained have been included into the manuscript. 
 
 
  Author’s contribution
  AA collected plant material, obtained essential oils and identified chemical structure of essential oil components; AM contributed to manuscript preparation and improved English; MP identified plants, developed the methods and contributed to manuscript preparation; NS developed the methods and prepared the manuscript; AB tested the biological activities of essential oils and analyzed data; SA obtained essential oils and provided chemical analyses; AT supervised the study and edited the manuscript. All authors have read and approved the manuscript.
 
 
  Competing of interest
  The authors declare no commercial, financial or any other conflict of interest.
 
 
  Consent for publication
  Not applicable.
 
 
  Ethics approval and consent to participate
  Not applicable.
 
",Acknowledgment
"
 Acknowledgements
 This research was supported by a training program of “Healthy Food for Life” project sponsored by International Research Staff Exchange Scheme (IRSES), we are grateful to their support during the training period. We are thankful to Professor Mihamou Aatika for the botanical identification of 
  A. campestris L. We address our thanks to Franck Michels and Danny Trisman, technicians affiliated to Laboratory of Chimie Générale et Organique, Gembloux Agro-Bio Tech, Univesrité de Lièrge_Belgium, for the thechincal assistance, and to Mostafa Bedraoui technician from laboratory of Physiologie, Génétique et Ethnopharmacologie_Faculté des Sciences, Université Mohamed Premier, Oujda_Morocco, for the reliable care of animals breeding.
 
 
  Funding
  The authors declare that they have received no funding for the research reported.
 
 
  Availability of data and materials
  All data and materials supporting the conclusion in this paper are described and included in this published article.
 
 
  Author’s contributions
  ID conducted the animal studies, biochemical assays, performed the statistical analysis and wrote the manuscript. AZ oversaw all the work, approved the experimental design, analyzed and interpreted the results and revised the manuscript. AA contributed to the achievement of the isolated aorta experiments. FB and HM carried out the antiplatelet test and helped to improve the manuscript. MLF and MS performed GC and GC/MS analyses of the essential oil and participated in the correction of the manuscript. MB gave some instructions and recommendations to improve the GC/MS analysis part. MB, MA and AL helped in the correction of the manuscript. All the authors read the manuscript and approved the final version.
 
 
  Competing interests
  The authors declare that they have no competing interests.
 
 
  Consent for publication
  Not applicable.
 
 
  Ethics approval and consent to participate
  All animals were cared for in compliance with the Guide for the Care and Use of Laboratory Animals, published by the US National Institutes of Health(National Institutes of Health. 2011. Guide for the Care and Use of Laboratory Animals. Eight Edition). Also this study followed principles in the Declaration of Helsinki (
   http://www.wma.net/en/policy/b3.html ).
  
 
",Acknowledgment
"
 Acknowledgments
 This research was supported financially by WAAPP/FCN-02, QualiTree project (DFC no. 10-002AU), and IFS Grant E4704-2.
",Acknowledgment
"
 Acknowledgement
 The authors thank the CNPq, FACEPE, UEPB, UFPB, and UFPE for their support. The authors are also grateful to Andrew Alastair Cumming for editing this paper.
",Acknowledgment
"
 Acknowledgements
 The authors would like to thank Bangladesh Council of Scientific and Industrial Research for laboratory facilities and awarding the Dr. Qudrat-i-Khuda doctoral fellowship to the first author of this research work.
 
  Funding
  Not applicable.
 
 
  Availability of data and materials
  The datasets generated and/or analysed during the current study are available from the corresponding author on reasonable request.
 
 
  Authors’ contributions
  MMS-e-In carried out hydro distillation of the essential oils, analysis fatty acid composition, antioxidant and cytotoxic assays and also made substantial contribution acquisition of data, analysis and drafted the manuscript. NS involved in the interpretation of the results and in the final revision of the work. MMR and MNHB acquired and analyzed the GC-MS data. MAA conducted the elemental assays. MNH played a major role in the experimental procedures of the antibacterial and antifungal activities. MMR performed the amino acid analysis. SKR designed the study and participated in plant selection and collection, thermal analyses and correction of the manuscript. MRI supervised the work, evaluated the results and corrected the manuscript for publication. All authors read and approved the final manuscript.
 
 
  Competing interests
  The authors declare that they have no competing interests.
 
 
  Consent for publication
  Not applicable.
 
 
  Ethics approval and consent to participate
  Not applicable.
 
",Acknowledgment
"
 Acknowledgments
 The research leading to these results was funded by the Romanian EEA Research Programme operated by MEN under the EEA Financial Mechanism 2009–2014, project contract No. 1SEE/2014. We also thank the Norwegian Research council for its financial support, and Bioing. A. Diaconu for the DLS measurements.
",Acknowledgment
"
 This work was financially supported by a project of the Natural Science Foundation of Shanxi Province, China (project no. 201601D011070).
",Acknowledgment
