targetOrganisms
Aedes aegypti
Alternaria alternata
Aspergillus flavus
Aspergillus fumigatus
Apis mellifera intermissa
Aspergillus niger
Cryptococcus neoformans
Acanthoscelides obtectus
Aspergillus ochraceus
Aspergillus terreus
Aspergillus toxicarius
Aspergillus tumefaciens
Aspergillus versicolor
Acetobacter
Acetobacter aceti
Achromobacter
Acidobacteria
Acinetobacter baumanni
Acinetobacter baumannii
Actinobacillus actinomycetemcomitans
Actinobacteria
Aedes albopictus
Aerococcus viridans
Aeromonas hominis
Aeromonas hydrophila
Aeromonas salmonicida
Aeromonas sobria
Agerobacterium tumefaciens
Aggregatibacter actinomycetemcomitans
Agrobacterium tumefaciens
Alcaligenes faecalis
Alternaria
Alternaria panax
Amaranthus retroflexus
Anopheles arabiensis
Anopheles atroparvus
Anopheles dirus
Anopheles funestus
Anopheles gambiae
Anopheles quadrimaculatus
Anopheles stephensi
Anopheles subpictus
Anopheles albimanus
Anopheles anthropophagus
Anopheles labranchiae
Anopheles sinensis
Anticarsia gemmatalis
Apis cerana
Aquificae
arringtonia asiatica
Asaia bogorensis
Ascomycota
Ascomycota sp.
Aspergillius sp.
Aspergillus
Aspergillus aculeatus
Aspergillus brasiliensis
Aspergillus nidulans
Aspergillus nomius
Aspergillus oryza
Aspergillus oryzae
Aspergillus parasiticum
Aspergillus parasiticus
Aspergillus spp.
Aspergillus tamarii
Aspergillus tubingensis
Aspergillus ustus
Aureobasidium pullulans
Bacillus atrophaeus
Bacillus cereus
Botrytis cinerea
Candida glabrata
Brevibacillus laterosporus
Brevibacterium linens
Bacillus megaterium
Bacillus pumilus
Biomphalaria straminea
Bacillus subtilis
Biomphalaria tenagophila
Bacillus
Bacillus circulans
Bacillus licheniformis
Bacillus sp.
Bacteroides spp.
Bacteroidetes
Basidiomycota
Bemisia tabaci
Bemisia tabaci Gennadius
Bidens pilosa
Bifidobacterium spp.
Bifidobacterium spp. 
Bipolaris oryzae
Bombyx mori
Bordetella bronchiseptica
Botritis cinerea
Brachyspira hyodysenteriae
Brevibacterium agri
Brevibacterium epidermidis
Brevundimonas bullata
Brevundimonas denitrificans
Brochothrix thermosphacta
Burkholderia sacchari
Butyrivibrio fibrisolvens
Byssochlamys fulva
Colletotrichum acutatum
Candida albicans
Carex canescens
Clostridioides difficile
Candida dubliniensis
Colletotrichum gloeosporioides
Candida guilliermondii
Campylobacter jejuni
Candida krusei
Callosobruchus maculatus
Candida parapsilosis
Culex quinquefasciatus
Cladosporium sphaerospermum
Clypeola tenuis
Candida tropicalis
Caenorhabditis elegans
Callosobruchus chinensis
Campylobacter coli
Campylobacter spp.
Candida albicans 
Candida apicola
Candida bombicola
Candida guilliermondi
Candida ingens
Candida kefyr
Candida lipolytica
Candida metapsilosis
Candida orthopsilosis
Candida sphaerica
Candida spp.
Candida utilis
Candida. glabrata
Candidatus Phytoplasma aurantifolia
Cephalotheca
Chenopodium album
Chloroflexi
Chromobacterium violaceum
Chrysomya megacephala
Chrysomya rufifacies
Ciliate protozoa
Cinnamomum zeylanicum
Cladosporium cladosporioides
Cladosporium fulvum
Cladosporium herbarum
Cladosporium sp.
Cladosporium spp.
Clavibacter michiganensis
Clostridium beijerinckii
Clostridium butyricum
Clostridium cluster IV spp.
Clostridium cluster XI
Clostridium perfringens
Clostridium phytofermentans
Colletotrichum fragariae
Colletotrichum lagenarium
Cortaderia selloana
Corynebacterium
Corynebacterium rubrum
Corynebacterium spp.
Cotesia flavipes
Cronobacter sakazakii
Cryptococcus gattii
Cryptococcus grubii
Cu. quinquefasciatus
cucumber mosaic virus
Cucumis sativus L.
Culex pipiens
Culiseta longiareolata
Curvularia lunata
Cutaneotrichosporon oleaginosus
Culex restuans
Cyanobacteria
Cylindrocarpon destructans
Drechslera halodes
Debaryomyces hansenii
Dermatophagoides pteronyssinus
Daphnia magna
Debariomyces hansenii
Debaryomyces polymorphus
Deinococcus-Thermus
Diabrotica virgifera virgifera LeConte
Dicentrarchus labrax
Dichomitus squalens
Dickeya solani
Dictyoglomi
Drechslera tetramera
Drosophila melanogaster
Enterobacter aerogenes
Escherichia coli
Echinochloa crus-galli
Enterococcus durans
Enterococcus faecalis
Ehrlichia canis
Enterobacter alcalifaciens
Enterobacter cloacae
Enterobacteriaceae
Enterococcus faecallis
Enterococcus faecium
Enterococcus feacalis
Epidermophyton floccosum
Erwinia carotovora
Fusarium graminearum
Fusarium oxysporum
Fusarium proliferatum
Fusarium solani
Fusarium sporotrichioides
Feline immunodeficiency virus
Fibrobacter succinogenes
Firmicutes
Flavobacterium cucumis
Frankliniella schultzei
Fusarium culmorum
Fusarium moniliforme
Fusarium poae
Fusarium sp.
Fusarium spp. A. ochraceus
Fusarium tricinctum
Fusarium verticillioides
Fusobacterium nucleatum
Galenia pubescens
Gemmatimonadetes
Gemmobacter megaterium
Geotrichum candidum
Glomerellaceae sp.
Goidanichiella sphaerospora
Hellinsia contortus
Haemophilus parainfluenzae
Haemonchus contortus
Haemophilus influenza
Haemophilus influenzae
Helicobacter pylori
Helminthosporium oryzae
human immunodeficiency virus
Hydrogenophaga pseudoflava
Hypocreomycetidae sp.
Klebsielia pneumoniae
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella sp.
Kluyveromyces marxianus
Kurtzmanomyces sp.
Leiobunum aldrichi
Leishmania amazonensis
Lamium amplexicaule
Liposcelis bostrychophila
Lactobacillus fermentum
Listeria innocua
Linophryne macrodon
Listeria monocytogenes
Lactobacillus plantarum
Leiobunum politum
Lasioderma serricorne
Leiobunum ventricosum
Lactobacillus delbrueckii
Lactobacillus spp
Lactococcus lactics
Lecanicillium
lectularius
Leishmania donovani
Leishmania infantum
Lipomyces starkeyi
Listeria monocytogenes
Listeria grayi
Listeria ivanovii
Listeria spp.
Locusta migratoria
Lolium multiflorum
Lucilia cuprina
Lucilia sericata
