PMCID,plants (Binomial names),PlantCompounds,Activity,Country,Plant Part
PMC4391421,Thymus vulgaris,"p-cymene, ?-terpinene, thymol",antimicrobial,,
PMC5080681,Thymus bovei,"Trans-geraniol,?-citral,?-citral","anthelmintic, antimicrobial, antioxidant",,
PMC5132230,Aeollanthus suaveolens x3,"Linalool, ?-farnesene,?-Santalene,linalyl acetate","analgesic, anti-inflammatory, antimicrobial activity, cytotoxic,",,root
PMC5203915,Rhaponticum carthamoides x3,"
cadalene,aplotaxene, ",antimicrobial,,
PMC5237462,M. piperita,"linalool , epoxyocimene ",antioxidant,,
PMC5248495,O. basilicum x5 O. citriodorum x3 ,"linalool, nerol, citral, estragol","antioxidant, antimicrobial, antifungal, antibacterial",,
PMC5282690,Artemisia campestris x4,"spathulenol, ß-eudesmol, p-cymene","antioxidant, antiplatelet, vasorelaxant",,seed
PMC5307246,Lannea kerstingii x2," ??-Tocopherol, lutein,  ??-sitosterol ",,,seed
PMC5307902,P. amboinicus x3,"carvacrol, p-cymene,  -terpinene ",,,
PMC5324201,Anethum sowa x2,"apiol, m-diaminobenzene, ?-butyrolactone,isobutyl acetone","antioxidant, antimicrobial, antispasmodic, cytotoxic",,root
PMC5330108, Mentha piperita ,"menthol, l menthone, pulegone, piperitone, caryophyllene, menthol acetate",antifungal,,
PMC5344628,,,"antifungal, antibacterial, antioxidant activity",,
PMC5364420,Cyperus rotundu x3,"?-cyperone, cyperene, ?-selinene","antioxidant, antifungal",,
PMC5393100,Allium sativum,"dimethyl trisulfide,  diallyl disulfide, diallyl sulfide, diallyl tetrasulfide",,,
PMC5411863,Kundmannia anatolica x6,"?-Pinene,  ?-Pinene, ?-Thujene, l-Limonene , ?-Phellandrene",,,fruit
PMC5412227,Dracocephalum kotschyi x3,,"antimicrobial, antioxidant, cytotoxic",,
PMC5423258," Calocedrus decurrens x3,  Calocedrus decurrens x3, Tetraclinis articulata x3",,antimicrobial,,
PMC5426739,,phenol,,,seed
PMC5427463,Salvia officinalis,"camphor, ?-thujone, cineole,  viridiflorol,  ?-caryophyllene,  ?-thujone ","antioxidant, antimicrobial, insecticidal, allelopathy",,
PMC5507808,Pimenta racemosa x3,"myrcene, chavicol, eugenol",,,leaves
PMC6920383, Triticum aestivum,,,,
PMC7165416,,,,,
PMC7460251,,,,,
PMC7358442,,,,,
PMC7645055,,,,,
PMC7770890,,,,,
PMC7831365,,,,,
PMC7952090,,,,,
PMC8051583,,,,,
