Paper,plant,Country,Plant Part,Plant Compound,Activity
PMC4391421,Thymus vulgaris,Romania,aerial part,"cymene, terpinene, thymol",antimicrobial
PMC5080681,Thymus bovie,,,"trans geraniol, citral, gamma citral","antimicrobial, anthelmintic, antioxidant"
PMC5132230,Aeollanthus suaviolens,Macapa,,"farnesene, linalool, santalene, linalyl acetate","antimicrobial, cytotoxic, antioxidant"
PMC5203915,Rhaponticum carthamoides,,hairy roots,"cyperene, 13 norcypera, 1, 11 diene, dauca 11 diene,  cadalene,nardosina diene,  aplotaxene, ",antimicrobial
PMC5237462,Mentha piperita,,,"linalool, epoxyocimene","antioxidant, larvicidal"
PMC5248495,"O. basilicum var. purpureum, O. basilicum var. thyrsiflora, and O. citriodorum",,,"methyl-chavicol (estragol); linalool., nerol (23.0%) , citral","antioxidant, antimicrobial"
PMC5282690,Artemisia campestris,,,"spathulenol, ß-eudesmol and p-cymene.","antioxidant, antiplatelet and vasorelaxant"
PMC5307246,Lannea kerstingii,,seeds,,
PMC5307902,Plectranthus amboinicus,,,"carvacrol, cymene, terpinene",
PMC5324201,Anethum sowa,,root part,"?-butyrolactone, isobutyl acetone","antioxidant, antimicrobial and cytotoxicity"
PMC5330108,Mentha piperita,,,"menthol, menthone, pulegone, piperitone, caryophyllene, menthol acetate,",antifungal
PMC5344668,"thyme, clove, rosemary, and tea",Romanian,,,"antifungal, antibacterial,  antioxidant , antimicrobial"
PMC5364420,Cyperus rotundus,,rhizomes,"?-cyperone (38.46%), cyperene,  ?-selinene","cytotoxic, antibacterial"
PMC5393100,P. anisum,,fruits,,
PMC5397855,Allium sativum,,,"diallyl disulfide, diallyl sulfide, dimethyl trisulfide , diallyl disulfide , diallyl sulfide
, diallyl tetrasulfide , and 3-vinyl-[4H]-1,2-dithiin",insecticidal
PMC5411863,Kundmannia anatolica,Turkey.,fruits,"?-Pinene (27.87-61.94%), ?-Pinene, ?-Thujene (2.66-8.15%), l-Limonene (1.83-8.23%), ?-Phellandrene",
PMC5412227,Dracocephalum kotschyi Boiss,,,,"antimicrobial, antioxidant, cytotoxic"
PMC5423258,"Calocedrus decurrens Torr., Cupressus sempervirens stricta L., Tetraclinis articulata",,aerial parts,"?-3-Carene, (+)-Cedrol (74.03%) and Camphor",antimicrobial
PMC5426739,sesame and olive,,,,
PMC5427463, Salvia officinalis,Tunisia,,"camphor (25.14 %), ?-thujone (18.83 %), 1,8-cineole (14.14 %), viridiflorol (7.98 %), ?-thujone, ?-caryophyllene","antioxidant, antimicrobial, insecticidal and allelopathic"
PMC5448358,Elyonurus hensi,,"aerial part, roots","cis and trans-p-mentha-
1(
7),8-dien-
2-
ol
and poor in cis and trans-p-mentha-
2,8-
dien-
1-
ol., p-menthadienol, aristolone",
PMC5454990,"O. caudata, O. cujumary,  O. caniculata, O. floribunda,
O. veraguensis, O. whitei",,,"alpha -pinene, beta-pinene,  -caryophyllene, p-cymene",
PMC5485486,Aloysia citriodora Palau,Morocco.,,"??-spathulenol, Ar-curcumene, trans-caryophyllene oxide, neral","antimicrobial, cytotoxic"
PMC5486035,Pistacia vera L.,,,"4-Carene, -Pinene, D-Limonene, and 3-Carene","cytoprotective, antimicrobial"
PMC5497343,Tagetes minuta,,flower,?-Ocimene,"antioxidant, antibacterial"
PMC5507808,Pimenta racemosa,,leaves,"myrcene, chavicol, eugenol",
