Paper,plant,Country,Plant Part,Plant Compound,Activity
PMC4391421,Thymus vulgaris, Romania,"aerial part of the plant(stems, leaves, petioles, flowers, fruit and seeds)"," p-cymene, ?-terpinene,  thymol ","antimicrobial, antiseptics"
PMC5080681,Thymus bovei,,,"Trans-geraniol, ?-citral ,?-citral ","anthelmintic, antimicrobial and antioxidant"
PMC5132230,Aeollanthus suaveolens, Brazil,,"?-farne sene, Linalool, ?-Santalene, linalyl acetate","analgesic, anti-inflammatory, antimicrobial "
PMC5203915,"Rhaponticum
carthamoides",,roots,"cyperene, 13-norcypera-1(5),11(12)-diene, and
cadalene aplotaxene, nardosina-1(10),11-diene, and dauca-4(11),8-diene",antibacterial antimicrobial
PMC5237462,,,,"linalool , epoxyocimene ","antioxidant, antimicrobial "
PMC5248495," basil, O. basilicum var.
purpureum, O. basilicum var. thyrsiflora,  O. citriodorum Vis.",,,methyl-chavicol (estragol),"antioxidant, antibacterial and antifungal"
PMC5282690,Artemisia campestris L.,,,"spathulenol, ß-eudesmol and p-cymene","antiplatelet, antioxidant"
PMC5307246,Lannea kerstingii,,seed,"Tocopherol, lutein, sitosterol ",
PMC5307902,Plectranthus amboinicus Lour,tropical countries,leaves ,"carvacrol, p-cymene , -terpinene ",
PMC5324201,Anethum sowa L,,root ,"?-butyrolactone ,
isobutyl acetone ",", antioxidant, antimicrobial , antispasmodic"
PMC5330108, Mentha piperita ,,,,antifungal
PMC5344628,"thyme, clove, rosemary,tea tree",Romania ,,,"antifungal, antibacterial, antioxidant , antimicrobial"
PMC5364420,Cyperus rotundus L.,,," ?-cyperone, cyperene ,?-selinene","antioxidant, antibacterial"
PMC5393100, Pimpinella anisum,,fruit ,,
PMC5397855,Allium sativum Linnaeus,,,"dimethyl trisulfide, diallyl disulfide , diallyl sulfide , diallyl tetrasulfide, and 3-vinyl-[4H]-1,2-dithiin",
PMC5411863,Kundmannia anatolica,Turkey,fruit ,"?-Pinene, ?-Pinene, ?-Thujene, l-Limonene, ?-Phellandrene",
PMC5412227,Dracocephalum kotschyi,,,,"antimicrobial, antioxidant,
cytotoxic"
PMC5423258,"Calocedrus decurrens Torr.,
Cupressus sempervirens stricta L. , Tetraclinis articulata (Vahl) Mast.",,," ?-3-Carene  , (+)-Cedrol ,Camphor ",antimicrobial 
PMC5426739,,,,,
PMC5427463,Salvia officinalis,,seeds,"camphor, ?-thujone, 1,8-cineole, viridiflorol, ?-thu jone and ?-caryophyllene","antioxidant, antimicrobial, insecticidal, allelopa thic "
PMC5448358, Elyonurus hensii,, roots,p-menthadienol isomers,
PMC5454990,"O. caudata, O. cujumary,  O. caniculata",,,"?-pinene, ?-pinene, ?-caryophyllene"," antimicrobial, cytotoxic"
PMC5485486,Aloysia citriodora Palau,Morocco,,"spathulenol, Ar-curcumene, trans-caryophyllene oxide, neral","cytotoxic, antibacterial"
PMC5486035,Pistacia vera L,,," 4-Carene , ?-Pinene , D-Limonene  3-Carene","antimicrobial,  cytoprotective"
PMC5497343,Tagetes minuta,,flower,?-Ocimene,"antioxidant ,antibacterial"
PMC5507808,"Pimenta
racemosa",leaves,,"myrcene, chavicol , eugenol",
PMC6920383,,,,,
PMC7021774,,,,,
PMC7165416,,,,,
PMC7358442,,,,,
PMC7460251,,,,,
PMC7645055,,,,,
PMC7770890,,,,,
PMC7831365,,,,,
PMC7952090,,,,,
PMC8051583,,,,,
