ActivityName,thymol,carvacrol,eugenol,caryophyllene,p-cymene,geraniol,myrcene,sabinene,cyclocitral,camphene,pulegone,chavicol,safrole,linoleic acid,coumarin,acetic acid,spathulenol,piperitenone,salicylic acid,cinnamic acid
Antioxidant,31,29,25,28,20,14,12,12,9,10,8,7,4,9,8,11,7,6,6,9
Antimicrobial,27,29,24,23,20,13,9,12,9,10,8,5,2,6,6,11,7,4,4,5
Antifungal,31,33,27,33,26,16,11,16,9,12,11,7,3,7,8,15,9,5,3,8
Anti-inflammatory,22,19,18,19,13,7,10,10,6,9,3,3,2,4,5,10,4,3,5,6
Antiviral,11,13,8,13,7,6,5,4,3,3,5,2,0,2,2,2,4,5,3,4
Cytotoxicity,8,10,8,10,7,5,2,4,2,5,2,2,1,2,2,5,2,3,1,3
Analgesic,4,7,7,6,4,2,1,4,1,3,2,1,1,2,4,7,1,0,1,2
Antiparasitic,5,7,9,9,4,5,2,6,2,2,1,1,0,2,4,4,1,1,1,4
Anthelmintic,4,3,3,3,3,2,1,2,1,1,0,1,0,0,4,1,1,1,1,0
Antidiabetic,4,4,2,4,2,2,0,2,1,1,1,0,1,2,1,1,0,0,2,2
Sedative,2,2,1,4,1,4,2,4,2,0,0,0,0,0,1,1,1,0,1,3
Antimalarial,1,1,2,4,2,3,2,2,1,2,0,0,0,0,4,3,2,0,1,2
Antiseptic,4,7,6,7,5,4,1,4,2,1,1,3,1,0,1,1,2,1,0,0
Therapeutic,5,8,2,1,3,1,0,0,1,2,0,1,0,1,2,1,0,1,2,0
Anxiolytic,2,2,1,5,1,3,2,2,3,0,0,0,0,0,2,1,1,0,0,1
Repellent,2,2,5,3,2,1,1,2,2,1,1,2,0,0,4,3,1,0,1,1
Antiprotozoal,1,2,5,5,2,2,1,2,1,1,0,2,0,0,4,2,1,1,0,1
Antispasmodic,2,2,0,3,1,2,0,1,2,0,0,0,0,0,2,0,0,0,0,0
Oxytocics,4,5,4,3,2,1,1,1,2,1,1,0,0,2,1,2,0,0,1,1
Genotoxic,5,4,1,4,4,1,1,1,1,0,1,2,1,1,2,1,1,1,0,1
Antipyretic,1,0,2,3,1,1,2,3,1,2,0,1,1,1,3,3,2,0,0,2
Hepatotoxicity,1,1,3,5,0,2,0,3,0,0,2,2,0,1,3,2,1,1,1,4
