clean_name,wikidata
(-)-alloaromadendrene,
(-)-alpha-bisabolol,
(-)-alpha-bisabolol oxide a,
(-)-alpha-bisabolol oxide b,
(-)-alpha-pinene,Q300852
(-)-alpha-selinene,
(-)-alpha-terpineol,Q27109437
(-)-alpha-thujene,
(-)-beta-caryophyllene,
(-)-beta-pinene,Q27103655
(-)-bornyl acetate,Q780165
(-)-caryophyllene oxide,
(-)-epi-beta-bisabolol,
(-)-italicene ether,
(-)-limonene,Q278809
(-)-linalool,Q27105200
(-)-pacifigorgiol,
(-)-sabinene,
(-)-spathulenol,Q1376658
(-) italicene ether,
(+)-alpha-pinene,Q300852
(+)-alpha-terpineol,Q27109437
(+)-alpha-thujene,
(+)-aromadendrene,
(+)-beta-pinene,Q27103655
(+)-ledene,
(+)-limonene,Q278809
(+)-linalool,Q27105200
(+)-sabinene,
(+)-terpinen-4-ol,Q416114
(3E)-hexenyl acetate,Q27276882
(3Z)-hexenol,Q300850
(E)-1-propenyl propyl disulfide,Q27262621
(E)-1-propenyl propyl trisulfide,
(E)-1-propenyl sec-butyl disulfide,
(E)-2-butenal,Q416036
(E)-2-decenal,Q19904086
(E)-2-decenol,Q27289647
(E)-2-decenyl acetate,Q27268613
(E)-2-dodecenal,Q27252265
(E)-2-dodecenol,
(E)-2-heptenal,
(E)-2-hexadecenal,
(E)-2-hexen-1-ol,Q300850
(E)-2-hexenal,
(E)-2-hexenoic acid,Q27121594
(E)-2-hexenyl benzoate,
(E)-2-hexenyl isobutyrate,
(E)-2-methyl-2-butenyl angelate,
(E)-2-methyl-2-butenyl isobutyrate,
(E)-2-methyl-2-butenyl methacrylate,
(E)-2-nonen-1-ol,Q27251778
(E)-2-nonenal,
(E)-2-nonenoic acid,Q27271549
(E)-2-octenal,Q2448755
(E)-2-octenoic acid,Q27159230
(E)-2-octenyl acetate,
(E)-2-pentadecenal,
(E)-2-pentenal,Q27162130
(E)-2-pentenol,Q27162125
(E)-2-tetradecenal,Q27291250
(E)-2-tridecenal,
(E)-2-undecenal,
(E)-3-hepten-2-one,Q27291021
(E)-3-hexenol,
(E)-3-nonene,Q15687205
(E)-3-octen-2-one,Q27161905
(E)-3-octenyl acetate,
(E)-3-penten-2-one,Q27161739
(E)-4-decenal,Q19904086
(E)-4-hepten-2-ol,
(E)-6-nonenol,
(E)-9-hexadecenoic acid,Q412366
(E)-alpha-bergamotene,Q27132147
(E)-alpha-bisabolene,
(E)-alpha-farnesene,
(E)-alpha-ionone,Q27114869
(E)-alpha-ocimene,
(E)-anethol,Q255564
(E)-asarone,
(E)-beta-damascenone,Q416126
(E)-beta-damascone,Q1051071
(E)-beta-farnesene,
(E)-beta-ionone,Q27114873
(E)-beta-ocimene,Q26777012
(E)-beta-ocimene epoxide,
(E)-beta-santalol,
(E)-beta-terpineol,
(E)-carveol,Q2920205
(E)-cinnamaldehyde,Q204036
(E)-cinnamic acid,Q164785
(E)-cinnamyl acetate,Q10878628
(E)-cinnamyl alcohol,Q204030
(E)-citral,Q410888
(E)-citronellyl tiglate,
(E)-ethyl cinnamate,Q204182
(E)-farnesol,Q420449
(E)-gamma-bisabolene,
(E)-geraniol,Q410836
(E)-geranyl acetone,
(E)-isoelemicin,
(E)-isoeugenol,Q27889971
