PMC_id	activity	label	caption
PMC4391421	Materials and methods: Determination of antimicrobial activity: anti-microbial	label	caption
	Results and Discussion: antimicrobial	label	caption
	Results and Discussion: dry	label	caption
PMC5080681	Methods >> Antimicrobial tests: antibacterial and antifungal 	label	caption
	Results >> Antioxidant activity : Antioxidant activity	label	caption
	Results >> Antibacterial and antifungal activities : antimicrobial activity 	label	caption
PMC5132230	Materials and Methods >> Antioxidant activity: Antioxidant activity	label	caption
	Materials and Methods >> Cytotoxic activity with Artemia salina leachg : cytotoxicity	label	caption
	Antimicrobial activity >> Microorganisms : antimicrobial	label	caption
PMC5203915	Material and Methods >>  Antibacterial and Antifungal Activity >> Microorganisms Strains and Growth Conditions 	label	caption
PMC5237462 	Material and Methods >> Antimicrobial Activity	label	caption
	Material and Methods >> Larvicidal Activity	label	caption
	Results and Discussion : antifungal, antimicrobial, antitumor, antimutagenic, analgesic, antispasmodic, anti-inflammatory, antiparasitic, antiplatelet, and antioxidant activity.	label	caption
	Results and Discussion >> Antioxidant Activity : Antioxidant 	label	caption
	Results and Discussion >> Antimicrobial Activity : antimicrobial	label	caption
	Results and Discussion >> Larvicidal Activity : larvicidal	label	caption
PMC5248495	Methods >> Investigation of antimicrobial activity by agar diffusion method : The antibacterial and antifungal activity	label	caption
	Methods >> Determination of radical scavenging activity : Free radical scavenging ability 	label	caption
	Results >> Antimicrobial activity of essential oils : bactericidal	label	caption
PMC5282690	Methods >> DPPH radical scavenging assay : radical scavenging	label	caption
PMC5307246	Material and Methods >> Plant Material	label	caption
	Material and Methods >> Chemical Analysis of the Seeds : seed	label	caption
PMC5307902	 	label	caption
	RESULTS AND DISCUSSIONS >> Extraction and characterization of the essential oil :  P. amboinicus	RESULTS AND DISCUSSIONS >> Extraction and characterization of the essential oil : fresh leaves 	label	caption
PMC5324201	Methods >> Antioxidant activity : Antioxidant 	label	caption
	Methods >> Cytotoxic activity of brine shrimp lethality bioassay : cytotoxicity	label	caption
	Methods >> Antimicrobial activity test : Antimicrobial	label	caption
	Methods >> Antifungal activity test : Antifungal	label	caption
	Results >> Antioxidant activity on DPPH radical : radical scavenging activity	label	caption
PMC5330108	MATERIALS AND METHODS	label	caption
PMC5330108	MATERIALS AND METHODS >> Minimum inhibitory concentration : antifungal	label	caption
PMC5344628	Results and Discussion >> Chemical Composition >> Phenolic Content : antioxidant, antimicrobial	label	caption
	Results and Discussion >> Chemical Composition >> Antifungal Activity of the Tested Essential Oils :antifungal	label	caption
	Results and Discussion >> Chemical Composition >> Antibacterial Inhibition : antibacterial,  antivermin, and antiviral, antiseptic, antihelmintic, anti-inflammatory, antispastic, carminative,  anti-neuralgic, antiulcer, anti-thrombotic, anticancerinogenic, and  anticoagulant activities 	label	caption
	Results and Discussion >> Chemical Composition >> Antioxidant Activity Evaluation : Antioxidant 	label	caption
PMC5364420	Methods >> Cytotoxicity activity : cytotoxic	label	caption
	Methods >> Antibacterial activity : antibacterial	label	caption
PMC5393100	MATERIALS AND METHODS >> Plant material and extraction >> 	label	caption
PMC5397855	Discussion: Insecticidal activity	label	caption
PMC5411863	Results and Discussion :antimicrobial	label	caption
	Results and Discussion : K. anatolica 	Results and Discussion: Fresh fruits	label	caption
PMC5412227	Material and methods >> Antimicrobial activity >> Microbial strains: antibacterial 	label	caption
	Material and methods >> Antimicrobial activity >> Antioxidant activity: Free radical scavenging Capacity	label	caption
	Results and Discussion >>  Antimicrobial activity : Antimicrobial 	label	caption
	Results and Discussion >> Antioxidant activity and Cytotoxicity :Antioxidant activity 	label	caption
PMC5423258	Experimental >> Plant materials: Testing for antimicrobial activities :antimicrobial 	label	caption
	Results and Discussion : antimicrobial activities	label	caption
	Results and Discussion : aerial parts	Results and Discussion : hydrodistilled	label	caption
PMC5426739	Materials and Methods : 	label	caption
PMC5427463	Materials and Methods >> Antioxidant activity >> DPPH free radical scavenging activity : scavenge the 2,2-diphenyl-1-picrylhydrazyl (DPPH) radical 	label	caption
	Materials and Methods >> Antioxidant activity >> DPPH free radical scavenging activity :antioxidant	label	caption
	Materials and Methods >>Antimicrobial activity >>    Microorganisms and growth conditions  : antimicrobial	label	caption
	    Materials and Methods >> Insecticidal activity >> Insect cultures : insecticide	label	caption
PMC5448358	Material and Methods >> Plant material : aerial parts (stems, leaves, and flowering tops) 	label	caption
PMC5454990	Results and Discussion >> Essential Oil Chemical Composition	label	caption
	Results and Discussion >> Antimicrobial and Cytotoxic Activities : Antimicrobial , cytotoxicity	label	caption
	 Materials and Methods >> Antibacterial Assay: Antibacterial 	label	caption
	Materials and Methods >> Cytotoxicity Assay : Cytotoxicity 	label	caption
PMC5485486	Results >> Essential Oils Mediated Cell Cytotoxicity: Cytotoxicity	label	caption
	Results >> Antibacterial Assays >> Disc Diffusion Assay: 	label	caption
PMC5486035	Results and Discussion	label	caption
	Results and Discussion >> Antioxidant Activities :antioxidants	label	caption
	Results and Discussion >> Cytoprotective Activity : 	label	caption
	Results and Discussion >> Antimicrobial Activities: Antimicrobial 	label	caption
	Materials and Methods >> Antimicrobial Activity : antimicrobial activity 	label	caption
PMC5497343	Methods >> Determination of antioxidant property : Antioxidant 	label	caption
	Methods >> Determination of antibacterial properties : antibacterial	label	caption
	Methods >> Essential oil scavenging activity on DPPH radical: scavenging activity on the DPPH radical	label	caption
PMC5507808	Results and Discussion : antimicrobial, anti-inflammatory, analgesic, anti-oxidant and anticancer	label	caption
	Experimental Sction >> Essential Oil Extraction : hydro-distillation	label	caption
PMC5524814	Materials and methods >> Plant material:  Salvia blancoana subsp. mariolensis, two of S. officinalis subsp. lavandulifolia, and one of S. x hegelmaieri, S. officinalis subsp. officinalis, S. x auriculata, and S. microphylla var. microphylla 	Materials and methods >> Plant material: aerial part	label	caption
PMC5527698	RESULTS >>  Antimicrobial effect of essential oil from Mentha piperita :  inhibitory activity against all studied bacteria,  fungicidal 	label	caption
PMC5535876	label	caption
PMC5543433	Methods >> Collection of plant material : The flowers of Citrus limon	label	caption
	Antimicrobial activity >> Agar diffusion method : Antibacterial and antifungal 	label	caption
	Results and discussion >> Antioxidant activities: radical scavenging property and antioxidant 	label	caption
	Results and discussion >> Antimicrobial activities : antibacterial activity	label	caption
PMC5546729	Materials and methods : N. sativa	Materials and methods : Collection and storage of N. sativa seeds : seeds	label	caption
PMC5551175	Results and Discussion >> Inhibition of Trypanosoma brucei Proliferation : antitrypanosomal	label	caption
	Materials and Methods >>Isolation of Essential Oil : hydrodistillation	label	caption
	Results and Discussion >> Chemical Composition of Essential Oils from Cameroonian Plants: hydrodistilled	label	caption
PMC5568258	Methods >> Antibacterial activity:  antibacterial activity 	label	caption
	Methods >> Cytotoxicity assay : Cytotoxicity	label	caption
PMC5569441	Materials and Methods	label	caption
	Results	label	caption
PMC5575638	Results and Discussion >> Allium vineale : antifungal , antibacterial , acaricidal, antiparasitic, nematicidal , antiviral , and insecticidal 	label	caption
	Materials and Methods >> Plant Material >> Allium vineale: Allium vineale	Materials and Methods >> Plant Material >> Allium vineale: entire plant (leaves and bulbs)	label	caption
	Results and Discussion >> Allium sativum : hydrodistillation, steam distillation	label	caption
	Results and Discussion >> Allium vineale : hydrodistillation, steam distillation	label	caption
PMC5577677	Methods >> Measurement of antioxidant enzyme activity and oxidative stability	label	caption
PMC5585972	Methods >> Collection of essential oils : Clove and cinnamon	Methods >> Collection of essential oils : Mwanza, Tanzania	label	caption
PMC5590060	Materials and Methods >> Antioxidant Activity >> DPPH Radical Scavenging Activity: free radical scavenging	label	caption
	Results and Discussion >> radical scavenging activity, antioxidant activity	label	caption
PMC5590062	Materials and Methods >> In vitro Antioxidant Activity : antioxidant activity 	label	caption
	Materials and Methods >> Antimicrobial Activity : Antifungal, antimicrobial 	label	caption
	Results >> Antioxidant Activity : Antioxidant 	label	caption
	Results >> Antimicrobial Activity : antimicrobial	label	caption
PMC5590063	Materials and Methods >> Antifungal Assays :  antifungal	label	caption
	Results : fungicidal	label	caption
