activity,count
allelopathy,25
antioxidant,22
agents,21
herbicide,19
herbicides,13
antimicrobial,8
antifungal,7
Antifungal,5
insecticide,5
derivatives,5
pesticides,4
anti-inflammatory,4
pesticide,4
fungicide,3
antiviral,3
Calcium,2
phytotoxicity,2
pheromones,2
aphrodisiac,1
immunostimulant,1
analgesic,1
derivative,1
repellent,1
cosmetics,1
Antioxidants,1
make up,1
adjuvant,1
protease inhibitors,1
pheromone,1
antispasmodic,1
wound healing,1
Prostaglandin,1
Therapeutic,1
Inhibitors,1
nematicide,1
antidiabetic,1
