PMCID	table_identifier	caption	Plant	Compound_column_title	Compound	Compound_dictionary_lookpup	E2.0_compound_identifiers	notes_for_lookup_in_compound_dictionary	wikidata_identifier	
PMC4391421	Table 1	Chemical composition of thyme EO	 thyme	Constituents*	alpha-Thujene	(-)-alpha-thujene ; (+)-alpha-thujene	C764 ; C786	stereo-isomers of the compounds are there.	Q27121815 ; Q27121804	
					alpha-Pinene	alpha-Pinene	C2849	Also, stereo-isomers of the compounds are there.	Q27104380	
					beta-Pinene	beta-Pinene	C349	Also, stereo-isomers of the compounds are there.		
					beta-Myrcene	beta-Myrcene	C345		Q424577	
					alpha-Phellandrene	alpha-Phellandrene	C2848		Q19606345	
					Carene<δ-2->	2-carene	C1720	Lookup is of '2-carene'		
					D-Limonene	(+)-limonene ; (-)-limonene	C792 ; C773		Q27888324 ; Q27089405	
					beta-Phellandrene	beta-Phellandrene	C3426		Q19606727	
					para-Cymene	cymene	C4118	Other cymene are present as 'm-cymenene', 'dehydro-p-cymene', 'o-cymene', 	Q284072	
					gamma-Terpinene			Present as beta-terpinene		
					Terpineol	1-terpineol	C1482		Q27276701	
					Terpinen-4-ol	(+)-terpinen-4-ol	C795		Q27280168	
					Thymol			not present.		
					Caryophyllene	(z)-caryophyllene ; 9-epi-(E)-caryophyllene ; alpha-caryophyllene	C1255 ; C2705 ; C2915 	Stereo-isomers are present	NA ; Q27137093 ; Q1995108	
					Cyclohexene, 1-methyl-4-(5-methyl-1-methylene-4-hexenyl)					
PMC5080681	Table 1	Chemical composition, concentrations (%) and calculated retention indices, of T. bovei	T. bovei	Constituents	Trans-geraniol (Lemonol)			not present.		
					α-citral (Trans-citral)			not present.		
					β-citral (Cis-citral)			not present.		
					Cis-geraniol (nerol)	cis-geraniol	C424		Q415359	
					3-octanol		C174		Q27154917	
					DL-camphor	camphor	C378	Present as of `Camphor` not exactly as of `DL-camphor`.	Q181559	
					Eucalyptol(1,8) cineole			not present.		
					3-octanone	3-octanone	C175		Q18349104	
					Thymol			not present.		
					β-linalool	(-)-linalool ; (+)-linalool	C774 ; C793 	stereo-isomers of the compounds are there.	Q27105200 ; Q27105233	
					β-farnesene	(E)-beta-farnesene	C22		Q27108631	
					Geranylisobutyrate	geranyl isobutyrate	C594		Q27286284	
					L-borneol	borneol	C361		Q27103499	
					Isocaryophyllene			not present.		
					Camphene	Camphene	C376		Q416775	
					Bergamiol			not present.		
					Dihydrocarveol acetate	Dihydrocarveol acetate	C4286			
					α-cyclocitral			not present.		
					β-ocimene	(E)-beta-ocimene	C932		Q26777012	
					Geranyl propionate			not present.		
					β-myrcene	beta-myrcene	C345		Q424577	
