Compound	WIKIDATA_query_id	notes
(+)-cedrol	cedrol (Q1052617)	
(+)-curcuphenol		
(+)-fenchol	fenchol (Q417941)	
(+)-α-terpineol	(+)-α-terpineol (Q27105253)	
(+/-)-norephedrine	(+)-phenylpropanolamine (Q413147) : Norephedrine	
(-)-a-santalal	alpha-santalal (Q67879682)	Check for stereoisomerism.
(-)-borneol	(-)-borneol (Q27089413)	
(-)-camphene	(-)-camphene (Q27105230)	
(-)-camphor	(S)-camphor (Q27095844)	Check for stereoisomerism.
(-)-citronellal		
(-)-α-thujone	(−)-α-thujone (Q421838)	
(1s)-2,6,6-trimethylbicyclo [3.1.1] hept-2-ene	(-)-alpha-pinene (Q300852) : (1S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene	
(2e)-decenal	(2E)-2-decenal (Q27277030)	
(2e)-dodecenal	(2E)-2-dodecenal (Q27252265)	
(2e)-hexenal	(2E)-2-hexenal (Q209405)	
(2e-6e)-farnesal	(2E,6E)-farnesal (Q27098285)	
(2e-6z)-farnesal	(2E,6Z)-farnesal (Q27279009)	
(2e-6z)-farnesol	(2E,6Z)-farnesol (Q27116653)	
(3e)-butylidene phthalide		
(3e)-hex-3-enyl benzoate		
(3z)-hexen-1-ol	(3Z)-3-hexen-1-ol (Q300850)	
(3z)-hexenyl benzoate	(3Z)-3-hexenyl benzoate (Q27286127)	
(cis+trans) thujones	thujone (Q27121853)	
(d)-limonene	(+)-limonene (Q27888324)	
(e)-2-isopropyl-5-methylphenyl 2-methylbut-2-enoate		
(e)-5-octadecene		
(e)-9-octadecenoic acid	glyceryl trielaidate (Q27124197) : (9E,9'E,9''E)-9-Octadecenoic acid, 1,2,3-	
(e)-anethole	anethole (Q255564)	
(e)-caryophyllene	caryophyllene (Q421614)	Check for stereoisomerism.
(e)-chrysanthenyl acetate	cis-chrysanthenyl acetate (Q67879791)	
(e)-dihydrocarvone	(-)-dihydrocarvone (Q27105270)	Check for stereoisomerism.
(e)-hex-3-en-1-ol	(3Z)-3-hexen-1-ol (Q300850)	Check for stereoisomerism.
(e)-non-2-enal	(2E)-2-nonenal (Q4596912)	
(e)-ocimenone		
(e)-oct-2-enal	(2E)-2-octenal (Q2448755)	Check for isomer.
(e)-p-mentha-2,8-dien-1-ol	carveol (Q2920205) : p-Mentha-1,8-dien-6-ol	
(e)-α-bergamoteno		
(e)-β-damascenone	β-damascenone (Q416126)	Check for stereoisomerism.
(e)-β-farnesene	(6E)-β-farnesene (Q27108631)	
(e)-β-ionone		
(e)-β-ocimene	(3E)-β-ocimene (Q26777012)	Check for isomer.
(e)-β-ocymene		
(e)-β-terpineol	cis-β-terpineol (Q27288363)	
(e)–caryophyllene	caryophyllene (Q421614)	
(e, e)-farnesyl acetate	(2E,6E)-farnesyl acetate (Q27276136)	
(e,e) 2,6-dimethyl-3,5,7-octatriene-2-ol		
(e,e)-2,4-heptadienal	(2E,4E)-2,4-heptadienal (Q27292092)	
(e,e)-deca-2,4-dienal		
(e,e)-farnesol	(2E,6E)-farnesol (Q420449)	
(e,e)-geranyl linalool	geranyllinalool (Q27144589) : (E,E)-3,7,11,15-tetramethylhexadeca-1,6,10,14-tetraen-3-ol	
(e,e)-α-farnesene	α-farnesene (Q419814)	
(r)-(+)-limonene	(+)-limonene (Q27888324)	
(s)-cis-verbenol	(S)-cis-verbenol (Q27293968)	
(z), (e)-α-farnesene	(3Z,6E)-α-farnesene (Q27119780)	
(z)-9,17-octadecadienal		
(z)-dihydro-apofarnesol		
(z)-falcarinol	panaxynol (Q413192) : Falcarinol	
(z)-jasmane		
(z)-nerolidol acetate	Nerolidol acetate (Q72494057)	
(z)-p-mentha-2,8-dien-1-ol	(Z)-p-mentha-2,8-dien-1-ol (Q27294536)	
(z)-p-menthan-2-one		
