	activity	activity_method	activity_result
PMC4391421	anti-microbial	Materials and methods >> Determination of antimicrobial activity	Results and Discussion
PMC5080681	antibacterial 	Methods >> Antimicrobial tests:	Results>> Antibacterial and antifungal activities
PMC5080681	antifungal	Methods >> Antimicrobial tests:	Results>> Antibacterial and antifungal activities
PMC5080681	Anthelmintic	Methods >> Anthelmintic activity	Results>> Anthelmintic activity
PMC5080681	Antioxidant activity	Methods >> DPPH radical-scavenging activity	Results >> Antioxidant activity :
PMC5080681	antimicrobial activity	Methods >> Antimicrobial tests:	Results >> Antibacterial and antifungal activities
PMC5132230	Antioxidant activity	Materials and Methods >> Antioxidant activity	Results and Discussion >> Essential antioxidant activity from Aeollanthus suaveolens essential oil by the DPPH radical capture method ; Results and Discussion >> Antioxidant activity of Aeollanthus suaveolens essential oil.
PMC5132230	 cytotoxicity	Materials and Methods >> Cytotoxic activity with Artemia salina leachg :	Results and Discussion >> Toxicity on Artemia salina essential Aeollanthus suaveolens oil  Results and Discussion >> Essential oil toxicity of Aeollanthus suaveolens front of the larvae of A. salina.
PMC5132230	 cytotoxicity	Materials and Methods >> Cytotoxic activity with Artemia salina leachg :	Results and Discussion >> Essential oil toxicity of Aeollanthus suaveolens front of the larvae of A. salina.
PMC5132230	antimicrobial	Materials and Methods >>Determination of the minimum inhibitory concentration (mic) and minimum bactericidal concentration (mbc); Materials and Methods >> Microorganisms	Results and Discussion >> Microbiological activity of the essential Aeollanthus suaveolens oil   
PMC5132230	antimicrobial	Materials and Methods >>Determination of the minimum inhibitory concentration (mic) and minimum bactericidal concentration (mbc); Materials and Methods >> Microorganisms	Results and Discussion >> Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the essential oil Aeollanthus suaveolens
PMC5203915	Antibacterial 	Material and Methods >>  Antibacterial and Antifungal Activity >> Microorganisms Strains and Growth Conditions	Results >> The Higher Antibacterial Activity of R. carthamoides HR and SGR Essential Oils against Gram-Positive and Gram-Negative Bacteria Than against Yeasts:
PMC5203915	Antifungal 	Material and Methods >>  Antibacterial and Antifungal Activity >> Microorganisms Strains and Growth Conditions	
PMC5203915	Antioxidant	Material and Methods >> Radical scavenging activity	
PMC5203915	cytotoxicity	Material and Methods >> Cell Culture of Human Normal Astrocytes and Cytotoxicity of HR and SGR Essential Oils and LPS >> Cytotoxicity of HR and SGR Essential Oils and LPS:	Results >> R. carthamoides HR and SGR Essential Oils Did Not Induce Cytotoxic Effect in Astrocytes
PMC5203915	Tyrosinase inhibition	Material and Methods >> Tyrosinase inhibition colorimetric assay	
PMC5237462	Antimicrobial	Material and Methods >> Antimicrobial Activity >> Evaluation of Antimicrobial Activity	Results and Discussion >> Antimicrobial Activity
PMC5237462	Larvicidal 	Material and Methods >>Larvicidal Activity	Results and Discussion >> Larvicidal Activity
PMC5237462	Antioxidant	Material and Methods >>  Analysis of Antioxidant Activity	Results and Discussion >> Antioxidant Activity
PMC5237462	 cytotoxic 	Material and Methods >> Toxicity Test	Results and Discussion >> Toxicity Test
PMC5248495	antifungal	Methods >> Investigation of antimicrobial activity by agar diffusion method : 	Results >> Antimicrobial activity of essential oils : 
PMC5248495	antibacterial	Methods >> Investigation of antimicrobial activity by agar diffusion method : 	Results >> Antimicrobial activity of essential oils : 
PMC5248495	Free radical scavenging ability	Methods >> Determination of radical scavenging activity : 	Results >> Radical scavenging activity
PMC5248495	Tyrosinase inhibition	Methods >> Tyrosinase inhibition colorimetric assay	Results >> Tyrosinase inhibition activity
