species,frequency,WIKIDATA_ID
Acetobacter aceti,1,Q3604286
Achroia grisella,1,Q1071861
Acinetobacter lwoffii,1,Q17097067
Aedes aegypti,3,Q1148004
Aeromonas hydrophila,1,Q2697755
Agrobacterium tumefaciens,1,Q131472
Alternaria alternata,4,Q2704244
Alternaria spp.,1,Q133266
Angelica sinensis,1,Q2051387
Anopheles arabiensis,1,Q13853909
Anopheles gambiae,1,Q135237
Anopheles labranchiae,1,Q13854220
Anopheles stephensi,2,Q4115863
Anticarsia gemmatalis,1,Q4774594
Aspergillus,1,Q335130
Aspergillus brasiliensis,2,Q10419946
Aspergillus flavus,6,Q137096
Aspergillus fumigates,2,Q134359
Aspergillus nidulans,1,Q683881
Aspergillus niger,11,Q132014
Aspergillus ochraceus,2,Q4807897
Aspergillus spp.,1,Q335130
Bacillus cereus,12,Q131307
Bacillus firmus,1,Q18355968
Bacillus foraminis,1,Q25840064
Bacillus halodurans,1,Q4838967
Bacillus licheniformis,1,Q2878356
Bacillus megaterium,1,Q148703
Bacillus spp.,1,Q212032
Bacillus subtilis,12,Q131238
Bemisia tabaci,1,Q1303946
Botrytis cinerea,6,Q1135851
Brochothrix thermosphacta,1,Q3645205
Bulinus truncatus,1,Q4996462
Caenorhabditis tropicalis,1,Q39050611
Callosobruchus maculatus,1,Q1633920
Candida albicans,19,Q310443
Candida dubliniensis,2,Q3247005
Candida glabrata,2,Q139137
Candida krusei,3,Q289229
Candida lactis-condensi,1,Q10441553
Candida parapsilosis,2,Q144068
Candida spp.,1,Q131260
Candida tropicalis,4,Q143138
Cladosporium cladosporioides,1,Q5124957
Cladosporium sphaerospermum,1,Q10454504
Clavibacter michiganensis,1,Q2978666
Clostridium perfringens,2,Q309465
Colletotrichum acutatum,2,Q5147068
Colletotrichum fragariae,1,Q5147078
Colletotrichum gloeosporioides,3,Q3683010
Cryptococcus grubii,1,Q309498
Cryptococcus neoformans,3,Q131924
Culex pipiens,1,Q27958
Culex quinquefasciatus,2,Q3007100
Culex restuans,1,Q14570774
Debariomyces hansenii,1,Q10467497
Dickeya solani,1,Q5273669
Ditylenchus dipsaci,1,Q2006214
Enterobacter cloacae,1,Q4038096
Enterobacteriaceae,1,Q380136
Enterococcus durans,1,Q5380224
Enterococcus faecalis,8,Q140014
enterohemorrhagic,1,Q1048833
Epidermophyton floccosum,1,Q149541
Escherichia coli,34,Q25419
Eucalyptus cinerea,1,Q763431
Fusarium culmorum,1,Q2712591
Fusarium graminearum,4,Q288349
Fusarium moniliforme,1,Q26828071
Fusarium oxysporum,3,Q139958
Fusarium sporotrichioides,1,Q5114748
Fusarium spp.,1,Q131672
Galleria mellonella,1,Q761648
Klebsiella pneumonia,4,Q132592
Klebsiella pneumoniae,1,Q132592
Lactobacillus plantarum,1,Q1756682
Lasioderma serricorne,1,Q133538
Leishmania amazonensis,2,Q30314626
Leishmania major,1,Q1950715
Liposcelis bostrychophila,1,Q6556765
Listeria ivanovii,1,Q3834924
Listeria monocytogenes,9,Q292015
Listeria plantarum,1,Q746209
Listeria spp.,1,Q746209
Macrophomina phaseolina,1,Q3018557
Mayetiola destructor,1,Q1615814
Micrococcus flavus,2,Q4044201
Micrococcus luteus,4,Q142000
Microsporum canis,4,Q140376
Microsporum gypseum,2,Q10584822
Microsporum spp.,1,Q639799
Monilinia fructicola,2,Q6900282
Monilinia fructigena,1,Q1620122
Monilinia laxa,1,Q2313186
