Compound	Cleaned_cmpnames	WIKIDATA_query	WIKIDATA_id	PubChem_CID
(−)-allo-aromadendrene	(-)-allo-aromadendrene	allo-aromadendrene	Q67879598	10899740
(-)-a-santalal	(-)-alpha-santalal	alpha-santalal	Q67879682	
(-)-α-thujone	(-)-alpha-thujone	(−)-α-thujone	Q421838	261491
(-)-borneol	(-)-borneol	(-)-borneol	Q27089413	1201518
(-)-camphene	(-)-camphene	(-)-camphene	Q27105230	440966
(-)-camphor	(-)-camphor	(S)-camphor	Q27095844	444294
(-)-citronellal	(-)-citronellal	(S)-(-)-citronellal	Q27105293	443157
(−)-spathulenol	(-)-spathulenol	(-)-spathulenol	Q27136312	6432706
(+)-α-terpineol	(+)-alpha-terpineol	(+)-α-terpineol	Q27105253	442501
(+)-cedrol	(+)-cedrol	cedrol	Q1052617	65575
(+)-curcuphenol	(+)-curcuphenol			156118
(+)-fenchol	(+)-fenchol	fenchol	Q417941	15406
(+/-)-norephedrine	(+/-)-norephedrine	(+)-phenylpropanolamine	Q413147	10297
"(1s)-2,6,6-trimethylbicyclo [3.1.1] hept-2-ene"	"(1S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"	6-trimethylbicyclo [3.1.1] hept-2-ene	Q300852	
(2e-6e)-farnesal	"(2E,6E)-farnesal"	"(2E,6E)-farnesal"	Q27098285	
(2e-6z)-farnesal	"(2E,6Z)-farnesal"	"(2E,6Z)-farnesal"	Q27279009	
(2e-6z)-farnesol	"(2E,6Z)-farnesol"	"(2E,6Z)-farnesol"	Q27116653	
(2e)-decenal	(2E)-decenal	(2E)-2-decenal	Q27277030	
(2e)-dodecenal	(2E)-dodecenal	(2E)-2-dodecenal	Q27252265	5283361
(3e)-butylidene phthalide	(3E)-butylidene phthalide			
(3e)-hex-3-enyl benzoate	(3E)-hex-3-enyl benzoate			
(3z)-hexenyl benzoate	(3Z)-hexenyl benzoate	(3Z)-3-hexenyl benzoate	Q27286127	101687121
(d)-limonene	(d)-limonene	(+)-limonene	Q27888324	440917
"2,6,10,14-hexadecatetraen-1-ol, 3, 7,11,15-tetramethyl-, acetate, (e, e,e)-"	"(E,E,E)-acetate-3,7,11,15-tetramethyl-2,6,10,14-hexadecatetraen-1-ol"			
"(e,e)-2,4-heptadienal"	"(E,E)-2,4-heptadienal"	4-heptadienal	Q27292092	
"2,6-dimethyl-1,3,5,7-octatetraene, e,e-"	"(E,E)-2,6-dimethyl-1,3,5,7-octatetraene"		Q24817453	
