	note	Genome	disease	compound	activity	plantparts	species	Fungi	Bacteria	yeast	protozoa	Virus	drug	Traditional medicinal system.	Traditional medicinal system(plant-parts).	Traditional medicinal system(plant-parts)- leaves.	Traditional medicinal system(plant-parts)- seeds.	Traditional medicinal system(diseases).	Traditional medicinal system-fever.	Traditional medicinal system-malaria.	Traditional medicinal system-diarrhea.	Traditional medicinal system-species.	EO composition
																							
PMC1397864																							
PMC4357966														Tulsi or Holy Basil is a sacred plant used by Vaishnavas for thousands of years.	Leaves, seed	carvacrol, ursolic acid, eugenol, flavonoids such as orientin and vicenin, and few phenolic compounds  namely apigenin, cirsilineol, cirsimaritin, isothymusin, isothymonin,  apogenin, rosmarinic acid and eugenol. The main phytoconstituents  present in the plant leaves are eugenol and ursolic acid.	oinoleic acid, oleic acid, palmitic acid, and stearic acid.	cough, cold, abdominal pain, skin diseases, arthritis, painful eye diseases, measles, and diarrhea.	fever	malaria		black pepper seeds	benzaldehyde, borneol, n-butylbenzoate, caryophyllene oxide, carvacrol, cis-Î±-terpineol, cubenol, eugenol, frualdeheyde, limonene, linalool, methyl carvicol (estragol: 1-allyl-4-methoxybenzene), ocimene, oleic acid, sebinene, phytol, veidifloro, Î²-pinene, Î±-thujjene, methyl chavicol and ursolic acid.
																							
																							
PMC4389114			cancer	quercetin																			
																							
PMC4395929	suppress NF-ÎºB activation induced by various carcinogens		cancer	Ursolic acid (UA), a pentacyclic triterpene acid																			
																							
PMC4445982		plastid genome of 142,245 bp, turning out to be the smallest in Lamiaceae, Pathway analysis indicated an abundance of phenylpropanoids in O. sanctum.Phylogenetic analysis for chloroplast proteome placed Salvia miltiorrhiza as the nearest neighbor. higher digital expression of phenylpropanoid/ terpenoid pathway genes of O. basilicum to higher essential oil content and chromosome number (O. sanctum, 2n=16; and O. basilicum, 2n=48).																					
