Primary Identifier,Defline,Organism,Classification,Synonyms,,,,,,,
MDP0000120176,(1 of 6) K15803 - (-)-germacrene D synthase (GERD),M. domestica,sesquiterpene,"TPS21, MdTPS1-GD",,https://doi.org/10.1104/pp.112.208249,,,,,
MDP0000121746,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,"Terpene synthase, Terpenoid synthase",,,,,,,
MDP0000127896,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,"Terpene synthase like, Terpenoid synthase",,,,,,,
MDP0000130635,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,"alpha-humulene/beta-caryophyllene synthase, Terpene synthase like, Terpenoid synthase",,,,,,,
MDP0000131051,(1 of 10) 5.5.1.13 - Ent-copalyl diphosphate synthase / Ent-kaurene synthetase A,M. domestica,diterpene,"Terpene synthase like, Terpenoid cylases/protein prenyltransferase alpha-alpha toroid",,,,,,,
MDP0000136959,(1 of 9) 4.2.3.105 - Tricyclene synthase,M. domestica,monoterpene,"Terpene synthase like, Terpenoid cylases/protein prenyltransferase alpha-alpha toroid",,,,,,,
MDP0000138294,(1 of 10) 5.5.1.13 - Ent-copalyl diphosphate synthase / Ent-kaurene synthetase A,M. domestica,diterpene,"Terpene synthase like, Terpenoid cylases/protein prenyltransferase alpha-alpha toroid",,,,,,,
MDP0000147908,(1 of 4) K04120 - ent-copalyl diphosphate synthase (E5.5.1.13),M. domestica,diterpene,MdTPS30-GD,,,,,,,
MDP0000152278,(1 of 12) 4.2.3.46 - Alpha-farnesene synthase / AFS1,M. domestica,monoterpene,"ATTPS03, TPS03",,AT4G16740,,,,,
MDP0000154813,(1 of 9) 4.2.3.105 - Tricyclene synthase,M. domestica,monoterpene,"1,8-cineole synthase, Terpene synthase like, Terpenoid cylases/protein prenyltransferase alpha-alpha toroid ",,,,,,,
MDP0000161084,(1 of 6) K15803 - (-)-germacrene D synthase (GERD),M. domestica,sesquiterpene,MdTPS5-GD,,,,,,,
MDP0000162573,"(1 of 4) K17982 - geranyllinalool synthase (TPS04, GES)",M. domestica,diterpene,"Terpene synthase like, Terpenoid cylases/protein prenyltransferase alpha-alpha toroid",,,,,,,
MDP0000166538,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,"Terpene synthase like, Terpenoid cylases/protein prenyltransferase alpha-alpha toroid",,,,,,,
MDP0000168577,"(1 of 5) PTHR31739:SF3 - ENT-KAUR-16-ENE SYNTHASE, CHLOROPLASTIC",M. domestica,diterpene,"Terpene synthase like, Terpenoid cylases/protein prenyltransferase alpha-alpha toroid",,,,,,,
MDP0000182333,(1 of 12) 4.2.3.46 - Alpha-farnesene synthase / AFS1,M. domestica,monoterpene,"Terpene synthase, Terpenoid synthase",,,,,,,
MDP0000190430,(1 of 12) 4.2.3.46 - Alpha-farnesene synthase / AFS1,M. domestica,monoterpene,"Terpene synthase, Terpenoid synthase",,,,,,,
MDP0000192151,"(1 of 4) K17982 - geranyllinalool synthase (TPS04, GES)",M. domestica,diterpene," Terpene synthase 4, TPS4",,,,,,,
MDP0000192374,"(1 of 4) K17982 - geranyllinalool synthase (TPS04, GES)",M. domestica,diterpene,"GES,TPS04,TPS4",,AT1G61120.1,,,,,
MDP0000198179,(1 of 10) 5.5.1.13 - Ent-copalyl diphosphate synthase / Ent-kaurene synthetase A,M. domestica,diterpene,"ABC33, ARABIDOPSIS THALIANA ENT-COPALYL DIPHOSPHATE SYNTHETASE 1, ATCPS1, CPP SYNTHASE, CPS, CPS1, ENT-COPALYL DIPHOSPHATE SYNTHETASE 1, GA REQUIRING 1, GA1",,AT4G02780,,,,,
MDP0000199152,(1 of 1) K14173 - alpha-farnesene synthase (AFS1),M. domestica,monoterpene,TPS02,,,,,,,
MDP0000201302,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,"Terpene synthase, Terpenoid synthase",,,,,,,
MDP0000203143,(1 of 6) K15803 - (-)-germacrene D synthase (GERD),M. domestica,sesquiterpene,(-)-E-beta-caryophyllene synthase activity,,,,,,,
MDP0000205617,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,TPS21 ,,https://doi.org/10.1038/s41598-021-88032-x,,,,,
MDP0000218642,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,"Terpene synthase, Terpenoid synthase",,,,,,,
MDP0000225361,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,MdTPS8-GD,,,,,,,
MDP0000227442,(1 of 4) K04121 - ent-kaurene synthase (E4.2.3.19),M. domestica,diterpene,"KS, MdTPS42-GD  ",,,https://academic.oup.com/plphys/article/161/2/787/6110610#supplementary-data,,,,
MDP0000227868,(1 of 9) 4.2.3.105 - Tricyclene synthase,M. domestica,monoterpene,,,,,,,,
MDP0000233869,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,MdTPS9-GD,,,,,,,
MDP0000245233,(1 of 6) K15086 - (3S)-linalool synthase (TPS14),M. domestica,monoterpene,"LIS, TPS14",,,,,,,
MDP0000248152,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,MdTPS11-GD,,,,,,,
MDP0000253576,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,,,,,,,,
MDP0000256604,(1 of 4) K04120 - ent-copalyl diphosphate synthase (E5.5.1.13),M. domestica,diterpene,,,,,,,,
MDP0000262508,(1 of 9) 4.2.3.105 - Tricyclene synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000265187,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,"ATTS1, MdTPS12-GD, TERPENE SYNTHASE 1, TS1",,"AT4G15870**,",,,,,
MDP0000268880,(1 of 21) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000274847,(1 of 6) K15803 - (-)-germacrene D synthase (GERD),M. domestica,sesquiterpene,MdTPS13-GD,,,,,,,
MDP0000274848,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,MdTPS14-GD,,,,,,,
MDP0000275314,(1 of 6) K15803 - (-)-germacrene D synthase (GERD),M. domestica,sesquiterpene,,,,,,,,
MDP0000276976,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,MdTPS15-GD,,,,,,,
MDP0000281986,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,"ATTPS14,TPS14",,AT1G61680.1,,,,,
MDP0000293841,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,,,,,,,,
MDP0000293842,(1 of 1) 4.2.3.25 - S-linalool synthase / LIS,M. domestica,monoterpene,MdTPS49-GD,,,,,,,
MDP0000295452,(1 of 6) K15803 - (-)-germacrene D synthase (GERD),M. domestica,sesquiterpene,MdTPS16-GD,,,,,,,
MDP0000297049,(1 of 12) 4.2.3.106 - (E)-beta-ocimene synthase / Beta-ocimene synthase,M. domestica,monoterpene,MdTPS26-GD,,,,,,,
MDP0000298903,(1 of 6) K15086 - (3S)-linalool synthase (TPS14),M. domestica,monoterpene,MdTPS50-GD,,,,,,,
MDP0000305417,(1 of 4) K04120 - ent-copalyl diphosphate synthase (E5.5.1.13),M. domestica,diterpene,MdTPS33-GD,,,,,,,
MDP0000308115,"(1 of 17) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",M. domestica,monoterpene,MdTPS51-GD,,,,,,,
MDP0000309477,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000311361,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000316067,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,,,,,,,,
MDP0000317119,(1 of 13) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,M. domestica,sesquiterpene,MdTPS17-GD,,,,,,,
MDP0000318427,(1 of 4) K04121 - ent-kaurene synthase (E4.2.3.19),M. domestica,diterpene,MdTPS27-GD,,,,,,,
MDP0000321353,"(1 of 4) K17982 - geranyllinalool synthase (TPS04, GES)",M. domestica,diterpene,MdTPS38-GD,,,,,,,
