disease,count
suppression,57
cancer,13
allergy,5
malaria,5
chikungunya,4
infectious disease,4
aspergillosis,4
leukemia,3
filariasis,3
obesity,3
tuberculosis,3
asthma,3
dengue fever,3
influenza,3
yellow fever,3
malabsorption,3
meningitis,3
stuttering,2
leprosy,2
colorectal cancer,2
liver disease,2
pneumocystosis,2
pancreatitis,2
myeloid leukemia,2
rhinitis,2
dermatitis,2
lyme disease,2
cystic fibrosis,2
candidiasis,2
lymphoma,2
mycosis,2
short bowel syndrome,2
myiasis,2
short bowel syndrome.,1
colitis,1
avian influenza,1
cystic fibrosis.,1
avian influenza,,1
plague,1
meningoencephalitis,1
respiratory disease,1
chronic myeloid leukemia,1
aids,1
trypanosomiasis,1
cervical cancer,1
rheumatoid arthritis,1
keratitis,1
colon cancer.,1
arthritis,1
sinusitis,1
mouth disease.,1
yellow fever,,1
infectious disease.,1
chronic kidney disease,1
ankylosing spondylitis,1
contact dermatitis,1
spondylitis,1
japanese encephalitis,,1
pneumonia,1
enteropathy,1
acute leukemia,,1
cardiovascular disease,1
contact dermatitis,,1
colorectal cancer.,1
cleft palate,1
breast cancer,1
hepatitis,1
conjunctivitis,1
dengue hemorrhagic fever,1
dental caries,,1
encephalitis,1
diabetes mellitus,,1
